dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.003233,24.000000,0.003333,0.133333,2.666667,53.333333,0.000000
0.050000,2.016567,24.000000,0.016667,0.266667,2.666667,0.000000,0.000000
0.050000,2.046567,24.000000,0.046667,0.600000,6.666667,80.000000,0.000000
0.050000,2.099900,24.000000,0.100000,1.066667,9.333333,53.333333,0.000000
0.050000,2.183233,24.000000,0.183333,1.666667,12.000000,53.333333,0.000000
0.050000,2.299900,24.000000,0.300000,2.333333,13.333333,26.666667,0.000000
0.050000,2.449900,24.000000,0.450000,3.000000,13.333333,-0.000000,0.000000
0.050000,2.633233,24.000000,0.633333,3.666667,13.333333,0.000000,0.000000
0.050000,2.849900,24.000000,0.850000,4.333333,13.333333,0.000000,0.000000
0.050000,3.099900,24.000000,1.100000,5.000000,13.333333,-0.000000,0.000000
0.050000,3.383233,24.000000,1.383333,5.666667,13.333333,-0.000000,0.000000
0.050000,3.699900,24.000000,1.700000,6.333333,13.333333,-0.000000,0.000000
0.050000,4.049900,24.000000,2.050000,7.000000,13.333333,0.000000,0.000000
0.050000,4.433233,24.000000,2.433333,7.666667,13.333333,-0.000000,0.000000
0.050000,4.849900,24.000000,2.850000,8.333333,13.333333,0.000000,0.000000
0.050000,5.299900,24.000000,3.300000,9.000000,13.333333,-0.000000,0.000000
0.050000,5.783233,24.000000,3.783333,9.666667,13.333333,0.000000,0.000000
0.050000,6.299900,24.000000,4.300000,10.333333,13.333333,-0.000000,0.000000
0.050000,6.846567,24.000000,4.846667,10.933333,12.000000,-26.666667,0.000000
0.050000,7.416567,24.000000,5.416667,11.400000,9.333333,-53.333333,0.000000
0.050000,8.003233,24.000000,6.003333,11.733333,6.666667,-53.333333,0.000000
0.050000,8.599900,24.000000,6.600000,11.933333,4.000000,-53.333333,0.000000
0.050000,9.199900,24.000000,7.200000,12.000000,1.333333,-53.333333,0.000000
0.050000,9.799900,24.000000,7.800000,12.000000,0.000000,-26.666667,0.000000
0.050000,10.399900,24.000000,8.400000,12.000000,0.000000,0.000000,0.000000
0.050000,10.999900,24.000000,9.000000,12.000000,-0.000000,-0.000000,0.000000
0.050000,11.599900,24.000000,9.600000,12.000000,0.000000,0.000000,0.000000
0.050000,12.218679,23.997925,10.218782,12.375646,7.512919,150.258385,6.264268
0.050000,12.872040,23.967643,10.872844,13.081242,14.111927,131.980160,6.210126
0.050000,13.518303,23.903990,11.522235,12.987818,-1.868483,-319.608209,6.160669
0.050000,14.155608,23.810922,12.166300,12.881290,-2.130570,-5.241737,6.116552
0.050000,14.782886,23.692705,12.804620,12.766409,-2.297606,-3.340726,6.078193
0.050000,15.399770,23.553681,13.436976,12.647107,-2.386038,-1.768635,6.045810
0.050000,16.006452,23.398108,14.063287,12.526234,-2.417466,-0.628562,6.019480
0.050000,16.603535,23.230070,14.683565,12.405562,-2.413451,0.080295,5.999191
0.050000,17.191895,23.053451,15.297862,12.285939,-2.392442,0.420188,5.984889
0.050000,17.772562,22.871939,15.906238,12.167513,-2.368521,0.478419,5.976511
0.050000,18.344045,22.689881,16.506020,11.995636,-3.437547,-21.380519,5.974012
0.050000,18.901787,22.512428,17.091312,11.705836,-5.796005,-47.169148,5.977234
0.050000,19.440720,22.344464,17.655812,11.290000,-8.316718,-50.414272,5.985811
0.050000,19.955724,22.190146,18.193439,10.752543,-10.749135,-48.648339,5.999156
0.050000,20.441541,22.052670,18.698333,10.097885,-13.093164,-46.880574,6.016464
0.050000,20.895256,21.933485,19.167441,9.382160,-14.314496,-24.426642,6.036839
0.050000,21.316837,21.832395,19.600972,8.670622,-14.230763,1.674662,6.059456
0.050000,21.706647,21.748514,19.999705,7.974660,-13.919247,6.230324,6.083537
0.050000,22.064935,21.680548,20.364383,7.293552,-13.622145,5.942035,6.108341
0.050000,22.391882,21.626910,20.695700,6.626349,-13.344066,5.561569,6.133172
0.050000,22.687634,21.585821,20.994293,5.971849,-13.089993,5.081468,6.157397
0.050000,22.952325,21.555415,21.260725,5.328641,-12.864159,4.516673,6.180449
0.050000,23.186089,21.533819,21.495484,4.695178,-12.669268,3.897836,6.201843
0.050000,23.389059,21.519234,21.698977,4.069871,-12.506144,3.262480,6.221171
0.050000,23.561370,21.509991,21.871536,3.451180,-12.373817,2.646539,6.238101
0.050000,23.703152,21.504604,22.013420,2.837685,-12.269910,2.078135,6.252372
0.050000,23.814523,21.501806,22.124827,2.228125,-12.191191,1.574377,6.263790
0.050000,23.895585,21.500574,22.205898,1.621418,-12.134147,1.140884,6.272209
0.050000,23.948874,21.500138,22.259189,1.065825,-11.111852,20.445889,6.277793
0.050000,23.979914,21.500021,22.290229,0.620808,-8.900341,44.230233,6.281063
0.050000,23.994758,21.500001,22.305073,0.296879,-6.478591,48.434994,6.282631
0.050000,23.999443,21.500000,22.309758,0.093701,-4.063556,48.300697,6.283126
0.050000,24.000000,21.500000,22.310315,0.011137,-1.651283,48.245469,6.283185
0.050000,24.000000,21.500000,22.310315,0.000000,-0.222731,28.571031,6.283185
