dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.003233,22.000000,0.003333,0.133333,2.666667,53.333333,0.000000
0.050000,2.016567,22.000000,0.016667,0.266667,2.666667,0.000000,0.000000
0.050000,2.046567,22.000000,0.046667,0.600000,6.666667,80.000000,0.000000
0.050000,2.099900,22.000000,0.100000,1.066667,9.333333,53.333333,0.000000
0.050000,2.183233,22.000000,0.183333,1.666667,12.000000,53.333333,0.000000
0.050000,2.299900,22.000000,0.300000,2.333333,13.333333,26.666667,0.000000
0.050000,2.449900,22.000000,0.450000,3.000000,13.333333,-0.000000,0.000000
0.050000,2.633233,22.000000,0.633333,3.666667,13.333333,0.000000,0.000000
0.050000,2.849900,22.000000,0.850000,4.333333,13.333333,0.000000,0.000000
0.050000,3.099900,22.000000,1.100000,5.000000,13.333333,-0.000000,0.000000
0.050000,3.383233,22.000000,1.383333,5.666667,13.333333,-0.000000,0.000000
0.050000,3.699900,22.000000,1.700000,6.333333,13.333333,-0.000000,0.000000
0.050000,4.049900,22.000000,2.050000,7.000000,13.333333,0.000000,0.000000
0.050000,4.433233,22.000000,2.433333,7.666667,13.333333,-0.000000,0.000000
0.050000,4.849900,22.000000,2.850000,8.333333,13.333333,0.000000,0.000000
0.050000,5.299900,22.000000,3.300000,9.000000,13.333333,-0.000000,0.000000
0.050000,5.783233,22.000000,3.783333,9.666667,13.333333,0.000000,0.000000
0.050000,6.299900,22.000000,4.300000,10.333333,13.333333,-0.000000,0.000000
0.050000,6.846567,22.000000,4.846667,10.933333,12.000000,-26.666667,0.000000
0.050000,7.416567,22.000000,5.416667,11.400000,9.333333,-53.333333,0.000000
0.050000,8.003233,22.000000,6.003333,11.733333,6.666667,-53.333333,0.000000
0.050000,8.599900,22.000000,6.600000,11.933333,4.000000,-53.333333,0.000000
0.050000,9.199900,22.000000,7.200000,12.000000,1.333333,-53.333333,0.000000
0.050000,9.799900,22.000000,7.800000,12.000000,0.000000,-26.666667,0.000000
0.050000,10.399900,22.000000,8.400000,12.000000,0.000000,0.000000,0.000000
0.050000,10.999900,22.000000,9.000000,12.000000,-0.000000,-0.000000,0.000000
0.050000,11.599900,22.000000,9.600000,12.000000,0.000000,0.000000,0.000000
0.050000,12.180847,21.998283,10.180949,11.618987,-7.620262,-152.405232,6.264268
0.050000,12.726051,21.972978,10.726741,10.915824,-14.063249,-128.859742,6.210126
0.050000,13.273883,21.918981,11.277227,11.009734,1.878199,318.828945,6.160669
0.050000,13.823882,21.838624,11.833065,11.116763,2.140572,5.247459,6.116552
0.050000,14.375766,21.734580,12.394671,11.232118,2.307108,3.330729,6.078193
0.050000,14.929465,21.609764,12.962264,11.351843,2.394497,1.747786,6.045810
0.050000,15.485133,21.467246,13.535917,11.473072,2.424576,0.601571,6.019480
0.050000,16.043151,21.310182,14.115618,11.594026,2.419085,-0.109825,5.999191
0.050000,16.604110,21.141774,14.701311,11.713855,2.396584,-0.450017,5.984889
0.050000,17.168783,20.965253,15.292932,11.832416,2.371208,-0.507505,5.976511
0.050000,17.735502,20.784710,15.887715,11.895653,1.264752,-22.129120,5.974012
0.050000,18.299386,20.605306,16.479450,11.834709,-1.218889,-49.672823,5.977234
0.050000,18.854698,20.432246,17.061104,11.633078,-4.032630,-56.274831,5.985811
0.050000,19.395273,20.270278,17.625422,11.286367,-6.934210,-58.031605,5.999156
0.050000,19.914401,20.123390,18.164932,10.790187,-9.923593,-59.787642,6.016464
0.050000,20.407531,19.993865,18.674788,10.197131,-11.861136,-38.750862,6.036839
0.050000,20.873101,19.882241,19.153553,9.575285,-12.436907,-11.515437,6.059456
0.050000,21.309998,19.788241,19.600447,8.937895,-12.747815,-6.218146,6.083537
0.050000,21.717025,19.711041,20.014731,8.285678,-13.044335,-5.930411,6.108341
0.050000,22.092980,19.649371,20.395710,7.619581,-13.321933,-5.551943,6.133172
0.050000,22.436719,19.601623,20.742750,6.940798,-13.575668,-5.074703,6.157397
0.050000,22.747215,19.565960,21.055287,6.250732,-13.801320,-4.513057,6.180449
0.050000,23.023584,19.540432,21.332833,5.550923,-13.996179,-3.897167,6.201843
0.050000,23.265109,19.523078,21.574980,4.842953,-14.159389,-3.264209,6.221171
0.050000,23.471231,19.512023,21.781398,4.128359,-14.291886,-2.649929,6.238101
0.050000,23.641536,19.505553,21.951826,3.408559,-14.396007,-2.082417,6.252372
0.050000,23.775734,19.502182,22.086067,2.684811,-14.474949,-1.578849,6.263790
0.050000,23.873633,19.500695,22.183977,1.958201,-14.532198,-1.144972,6.272209
0.050000,23.938089,19.500167,22.248436,1.289172,-13.380590,23.032153,6.277793
0.050000,23.975669,19.500026,22.286016,0.751599,-10.751462,52.582555,6.281063
0.050000,23.993649,19.500002,22.303996,0.359603,-7.839917,58.230911,6.282631
0.050000,23.999325,19.500000,22.309672,0.113522,-4.921628,58.365778,6.283126
0.050000,24.000000,19.500000,22.310346,0.013493,-2.000569,58.421173,6.283185
0.050000,24.000000,19.500000,22.310346,0.000000,-0.269861,34.614154,6.283185
