dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.003344,20.500001,0.003704,0.148148,2.962963,59.259259,0.000299
0.050000,17.013545,20.500008,0.013904,0.204010,1.117246,-36.914341,0.001210
0.050000,17.030552,20.500042,0.030912,0.340158,2.722946,32.113996,0.002720
0.050000,17.054378,20.500132,0.054738,0.476516,2.727170,0.084481,0.004821
0.050000,17.085036,20.500320,0.085397,0.613172,2.733111,0.118832,0.007495
0.050000,17.122545,20.500662,0.122907,0.750212,2.740797,0.153704,0.010725
0.050000,17.166928,20.501222,0.167293,0.887724,2.750256,0.189191,0.014487
0.050000,17.218211,20.502075,0.218583,1.025801,2.761524,0.225351,0.018753
0.050000,17.276424,20.503305,0.276810,1.164532,2.774634,0.262199,0.023489
0.050000,17.341603,20.505006,0.342011,1.304013,2.789619,0.299705,0.028659
0.050000,17.413784,20.507277,0.414228,1.444339,2.806508,0.337791,0.034220
0.050000,17.493009,20.510225,0.493508,1.585605,2.825325,0.376336,0.040124
0.050000,17.579324,20.513959,0.579903,1.727909,2.846084,0.415180,0.046321
0.050000,17.672777,20.518595,0.673471,1.871349,2.868791,0.454131,0.052754
0.050000,17.773419,20.524245,0.774272,2.016021,2.893440,0.492978,0.059360
0.050000,17.881308,20.531024,0.882373,2.162021,2.920015,0.531506,0.066074
0.050000,17.996501,20.539041,0.997845,2.309446,2.948491,0.569511,0.072823
0.050000,18.119064,20.548401,1.120764,2.458388,2.978832,0.606820,0.079533
0.050000,18.249063,20.559199,1.251211,2.608937,3.010997,0.643308,0.086123
0.050000,18.386571,20.571520,1.389271,2.761184,3.044943,0.678916,0.092508
0.050000,18.531666,20.585435,1.535031,2.915216,3.080626,0.713666,0.098599
0.050000,18.684432,20.600996,1.688587,3.071116,3.118010,0.747671,0.104302
0.050000,18.844957,20.618234,1.850036,3.228970,3.157067,0.781141,0.109520
0.050000,19.013340,20.637157,2.019479,3.388859,3.197786,0.814379,0.114151
0.050000,19.189686,20.657741,2.197022,3.550868,3.240174,0.847766,0.118089
0.050000,19.374110,20.679930,2.382776,3.715081,3.284261,0.881741,0.121224
0.050000,19.566737,20.703630,2.576855,3.881586,3.330099,0.916762,0.123441
0.050000,19.764039,20.728245,2.775687,3.976625,1.900789,-28.586209,0.124610
0.050000,19.962416,20.753119,2.975618,3.998620,0.439903,-29.217702,0.124679
0.050000,20.161897,20.778034,3.176648,4.020614,0.439883,-0.000410,0.123648
0.050000,20.359250,20.802370,3.375496,3.976950,-0.873291,-26.263475,0.121560
0.050000,20.550700,20.825480,3.568336,3.856798,-2.403040,-30.594986,0.118537
0.050000,20.735683,20.847164,3.754585,3.724997,-2.636019,-4.659581,0.114695
0.050000,20.914098,20.867319,3.934134,3.590981,-2.680321,-0.886038,0.110147
0.050000,21.085840,20.885876,4.106876,3.454835,-2.722916,-0.851902,0.104999
0.050000,21.250806,20.902800,4.272708,3.316643,-2.763838,-0.818429,0.099354
0.050000,21.408893,20.918085,4.431533,3.176488,-2.803096,-0.785175,0.093308
0.050000,21.559999,20.931748,4.583256,3.034454,-2.840684,-0.751744,0.086957
0.050000,21.704024,20.943834,4.727787,2.890625,-2.876575,-0.717822,0.080389
0.050000,21.840871,20.954402,4.865041,2.745089,-2.910734,-0.683184,0.073692
0.050000,21.970447,20.963533,4.994938,2.597933,-2.943119,-0.647703,0.066944
0.050000,22.092661,20.971318,5.117400,2.449248,-2.973686,-0.611344,0.060224
0.050000,22.207432,20.977860,5.232357,2.299129,-3.002394,-0.574155,0.053602
0.050000,22.314679,20.983269,5.339740,2.147668,-3.029206,-0.536251,0.047145
0.050000,22.414330,20.987662,5.439488,1.994964,-3.054096,-0.497801,0.040917
0.050000,22.506319,20.991155,5.531544,1.841111,-3.077047,-0.459003,0.034974
0.050000,22.590586,20.993868,5.615854,1.686209,-3.098050,-0.420072,0.029368
0.050000,22.667076,20.995916,5.692372,1.530353,-3.117111,-0.381220,0.024148
0.050000,22.735742,20.997411,5.761054,1.373641,-3.134243,-0.342640,0.019356
0.050000,22.796542,20.998457,5.821862,1.216168,-3.149468,-0.304497,0.015030
0.050000,22.849438,20.999151,5.874764,1.058027,-3.162814,-0.266918,0.011204
0.050000,22.894402,20.999581,5.919729,0.899311,-3.174313,-0.229985,0.007907
0.050000,22.931407,20.999822,5.956735,0.740111,-3.184000,-0.193736,0.005162
0.050000,22.960432,20.999941,5.985761,0.580516,-3.191908,-0.158162,0.002989
0.050000,22.981463,20.999987,6.006791,0.420612,-3.198069,-0.123209,0.001404
0.050000,22.994487,20.999999,6.019816,0.260487,-3.202508,-0.088789,0.000418
0.050000,22.999498,21.000000,6.024827,0.100225,-3.205247,-0.054779,0.000038
0.050000,23.000000,21.000000,6.025329,0.010035,-1.803802,28.028892,6.283185
0.050000,23.000000,21.000000,6.025329,0.000000,-0.200690,32.062241,6.283185
