dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.662758,14.000001,0.003704,0.148148,2.962963,59.259259,0.000826
0.050000,1.671302,14.000019,0.012248,0.170881,0.454654,-50.166174,0.003393
0.050000,1.685523,14.000098,0.026470,0.284438,2.271137,36.329656,0.007690
0.050000,1.705395,14.000311,0.046342,0.397453,2.260299,-0.216764,0.013743
0.050000,1.730877,14.000761,0.071828,0.509717,2.245288,-0.300216,0.021591
0.050000,1.761918,14.001581,0.102880,0.621032,2.226305,-0.379669,0.031280
0.050000,1.798453,14.002936,0.139440,0.731215,2.203660,-0.452884,0.042867
0.050000,1.840407,14.005019,0.181446,0.840107,2.177826,-0.516696,0.056417
0.050000,1.887688,14.008058,0.228825,0.947581,2.149486,-0.566802,0.072000
0.050000,1.940195,14.012311,0.281503,1.053562,2.119613,-0.597461,0.089692
0.050000,1.997810,14.018068,0.339405,1.158039,2.089550,-0.601252,0.109567
0.050000,2.060406,14.025653,0.402460,1.261094,2.061101,-0.568975,0.131696
0.050000,2.127848,14.035424,0.470606,1.362925,2.036617,-0.489675,0.156141
0.050000,2.199993,14.047771,0.543800,1.463878,2.019062,-0.351099,0.182944
0.050000,2.276697,14.063119,0.622024,1.564479,2.012028,-0.140682,0.212125
0.050000,2.357818,14.081930,0.705297,1.665463,2.019666,0.152751,0.243663
0.050000,2.443224,14.104701,0.793686,1.767787,2.046484,0.536356,0.277492
0.050000,2.532797,14.131967,0.887318,1.872636,2.096983,1.009976,0.313485
0.050000,2.626441,14.164303,0.986388,1.981391,2.175105,1.562454,0.351446
0.050000,2.724078,14.202322,1.091166,2.095568,2.283540,2.168702,0.391105
0.050000,2.825653,14.246676,1.202002,2.216717,2.422979,2.788764,0.432114
0.050000,2.931123,14.298044,1.319316,2.346292,2.591496,3.370342,0.474050
0.050000,3.040456,14.357126,1.443592,2.485506,2.784273,3.855541,0.516432
0.050000,3.153615,14.424622,1.575352,2.635197,2.993830,4.191143,0.558736
0.050000,3.270553,14.501212,1.715139,2.795739,3.210829,4.339979,0.600421
0.050000,3.391205,14.587530,1.863489,2.967005,3.425324,4.289912,0.640949
