dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.664345,12.000002,0.003704,0.148148,2.962963,59.259259,0.000775
0.050000,1.677875,12.000029,0.017234,0.270603,2.449101,-10.277248,0.003194
0.050000,1.700446,12.000146,0.039805,0.451432,3.616582,23.349631,0.007247
0.050000,1.732090,12.000466,0.071451,0.632903,3.629418,0.256727,0.012967
0.050000,1.772848,12.001146,0.112214,0.815275,3.647431,0.360250,0.020397
0.050000,1.822773,12.002394,0.162155,0.998806,3.670632,0.464030,0.029597
0.050000,1.881924,12.004471,0.221342,1.183756,3.698994,0.567222,0.040637
0.050000,1.950367,12.007697,0.289861,1.370376,3.732404,0.668206,0.053601
0.050000,2.028167,12.012454,0.367807,1.558907,3.770615,0.764213,0.068584
0.050000,2.115385,12.019193,0.455285,1.749565,3.813161,0.850932,0.085693
0.050000,2.212070,12.028439,0.552411,1.942528,3.859262,0.922025,0.105043
0.050000,2.318249,12.040797,0.659307,2.137913,3.907692,0.968587,0.126755
0.050000,2.433913,12.056956,0.776094,2.335744,3.956619,0.978551,0.150953
0.050000,2.559001,12.077696,0.902890,2.535915,4.003436,0.936332,0.177752
0.050000,2.693381,12.103883,1.039797,2.738144,4.044574,0.822761,0.207257
0.050000,2.836822,12.136465,1.186893,2.941913,4.075367,0.615862,0.239544
0.050000,2.988974,12.176460,1.344213,3.146413,4.090007,0.292805,0.274651
0.050000,3.149332,12.224936,1.511738,3.350498,4.081692,-0.166297,0.312556
0.050000,3.317216,12.282973,1.689371,3.552651,4.043065,-0.772551,0.353164
0.050000,3.491753,12.351617,1.876921,3.751002,3.967029,-1.520722,0.396284
0.050000,3.671870,12.431829,2.074091,3.943400,3.847960,-2.381379,0.441619
0.050000,3.856314,12.524415,2.280469,4.127559,3.683171,-3.295770,0.488757
0.050000,4.043689,12.629975,2.495533,4.301274,3.474313,-4.177158,0.537175
0.050000,4.232524,12.748846,2.718667,4.462686,3.228224,-4.921786,0.586257
0.050000,4.421349,12.881086,2.949193,4.610524,2.956759,-5.429307,0.635325
0.050000,4.608791,13.026470,3.186408,4.744292,2.675375,-5.627682,0.683674
0.050000,4.793651,13.184523,3.429624,4.864327,2.400695,-5.493584,0.730617
0.050000,4.971768,13.351436,3.673726,4.882043,0.354314,-40.927635,0.774738
0.050000,5.139987,13.522964,3.913974,4.804966,-1.541541,-37.917099,0.815003
