dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.664434,13.999998,0.003704,0.148148,2.962963,59.259259,6.282348
0.050000,1.678137,13.999969,0.017407,0.274058,2.518202,-8.895213,6.279756
0.050000,1.700986,13.999841,0.040257,0.457004,3.658920,22.814359,6.275424
0.050000,1.733000,13.999495,0.072272,0.640303,3.665970,0.140996,6.269335
0.050000,1.774197,13.998763,0.113476,0.824078,3.675496,0.190509,6.261464
0.050000,1.824601,13.997424,0.163898,1.008434,3.687122,0.232524,6.251783
0.050000,1.884232,13.995207,0.223570,1.193450,3.700322,0.263995,6.240258
0.050000,1.953106,13.991786,0.292528,1.379169,3.714385,0.281278,6.226855
0.050000,2.031225,13.986781,0.370808,1.565588,3.728384,0.279962,6.211538
0.050000,2.118575,13.979755,0.458440,1.752645,3.741129,0.254917,6.194275
0.050000,2.215115,13.970213,0.555450,1.940202,3.751144,0.200292,6.175041
0.050000,2.320767,13.957608,0.661852,2.128034,3.756636,0.109836,6.153823
0.050000,2.435409,13.941341,0.777642,2.315809,3.755499,-0.022731,6.130622
0.050000,2.558860,13.920767,0.902796,2.503076,3.745353,-0.202928,6.105465
0.050000,2.690872,13.895208,1.037259,2.689258,3.723629,-0.434483,6.078405
0.050000,2.831115,13.863961,1.180941,2.873644,3.687726,-0.718059,6.049533
0.050000,2.979176,13.826321,1.333711,3.055406,3.635238,-1.049757,6.018979
0.050000,3.134548,13.781598,1.495392,3.233618,3.564244,-1.419872,5.986921
0.050000,3.296637,13.729144,1.665757,3.407300,3.473638,-1.812123,5.953585
0.050000,3.464766,13.668376,1.844531,3.575472,3.363441,-2.203938,5.919247
0.050000,3.638191,13.598800,2.031392,3.737224,3.235033,-2.568157,5.884228
0.050000,3.816127,13.520036,2.225981,3.891785,3.091224,-2.876196,5.848888
0.050000,3.997772,13.431829,2.427911,4.038590,2.936106,-3.102345,5.813615
0.050000,4.182344,13.334062,2.636777,4.177325,2.774691,-3.228315,5.778812
0.050000,4.369108,13.226753,2.852174,4.307942,2.612346,-3.246883,5.744886
0.050000,4.557410,13.110052,3.073707,4.430650,2.454166,-3.163610,5.712233
0.050000,4.746697,12.984224,3.301000,4.545868,2.304359,-2.996130,5.681226
0.050000,4.933144,12.852117,3.529506,4.570115,0.484932,-36.388557,5.652713
0.050000,5.113501,12.716873,3.754938,4.508650,-1.229290,-34.284427,5.627274
0.050000,5.288204,12.579217,3.977357,4.448379,-1.205438,0.477036,5.604851
0.050000,5.457716,12.439797,4.196839,4.389629,-1.174983,0.609093,5.585366
0.050000,5.622512,12.299193,4.413466,4.332542,-1.141738,0.664906,5.568736
0.050000,5.783065,12.157924,4.627321,4.277109,-1.108673,0.661292,5.554879
0.050000,5.939838,12.016464,4.838482,4.223208,-1.078022,0.613028,5.543718
0.050000,6.093277,11.875248,5.047014,4.170637,-1.051406,0.532316,5.535185
0.050000,6.243807,11.734681,5.252971,4.119139,-1.029965,0.428823,5.529228
0.050000,6.391830,11.595149,5.456391,4.068416,-1.014465,0.310002,5.525807
0.050000,6.537726,11.457026,5.657299,4.018147,-1.005387,0.181567,5.524900
0.050000,6.681848,11.320675,5.855699,3.967997,-1.002986,0.048012,5.526500
0.050000,6.824524,11.186463,6.051580,3.917631,-1.007329,-0.086867,5.530618
0.050000,6.966057,11.054754,6.244916,3.866716,-1.018302,-0.219458,5.537282
0.050000,7.106724,10.925924,6.435663,3.814936,-1.035593,-0.345825,5.546534
0.050000,7.246774,10.800354,6.623763,3.762003,-1.058653,-0.461184,5.558433
0.050000,7.386428,10.678437,6.809147,3.707672,-1.086622,-0.559387,5.573048
0.050000,7.525880,10.560575,6.991735,3.651760,-1.118242,-0.632402,5.590457
0.050000,7.665293,10.447177,7.171443,3.594173,-1.151736,-0.669871,5.610746
0.050000,7.804803,10.338657,7.348190,3.534939,-1.184678,-0.658837,5.633995
0.050000,7.944515,10.235427,7.521902,3.474246,-1.213870,-0.583842,5.660277
0.050000,8.083793,10.138373,7.691660,3.395158,-1.581754,-7.357685,5.689489
0.050000,8.220087,10.049418,7.854415,3.255098,-2.801208,-24.389082,5.720974
