dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.662758,11.999999,0.003704,0.148148,2.962963,59.259259,6.282348
0.050000,1.671278,11.999981,0.012223,0.170386,0.444758,-50.364096,6.279756
0.050000,1.685464,11.999901,0.026410,0.283736,2.266997,36.444768,6.275424
0.050000,1.705300,11.999687,0.046246,0.396733,2.259935,-0.141222,6.269335
0.050000,1.730758,11.999234,0.071709,0.509252,2.250393,-0.190839,6.261464
0.050000,1.761807,11.998410,0.102769,0.621190,2.238746,-0.232953,6.251783
0.050000,1.798405,11.997049,0.139392,0.732466,2.225518,-0.264548,6.240258
0.050000,1.840505,11.994959,0.181544,0.843037,2.211421,-0.281948,6.226855
0.050000,1.888053,11.991913,0.229189,0.952906,2.197383,-0.280770,6.211538
0.050000,1.940988,11.987655,0.282296,1.062135,2.184590,-0.255850,6.194275
0.050000,1.999248,11.981897,0.340839,1.170861,2.174522,-0.201366,6.175041
0.050000,2.062763,11.974320,0.404804,1.279310,2.168971,-0.111019,6.153823
0.050000,2.131465,11.964571,0.474195,1.387812,2.170044,0.021461,6.130622
0.050000,2.205288,11.952269,0.549036,1.496818,2.180125,0.201615,6.105465
0.050000,2.284168,11.936996,0.629381,1.606908,2.201785,0.433213,6.078405
0.050000,2.368051,11.918306,0.715321,1.718789,2.237631,0.716918,6.049533
0.050000,2.456890,11.895721,0.806985,1.833293,2.290075,1.048875,6.018979
0.050000,2.550650,11.868731,0.904552,1.951345,2.361044,1.419383,5.986921
0.050000,2.649308,11.836801,1.008249,2.073928,2.451652,1.812162,5.953585
0.050000,2.752851,11.799372,1.118350,2.202022,2.561884,2.204629,5.919247
0.050000,2.861276,11.755867,1.235177,2.336540,2.690362,2.569572,5.884228
0.050000,2.974581,11.705704,1.359090,2.478254,2.834279,2.878345,5.848888
0.050000,3.092766,11.648303,1.490476,2.627731,2.989537,3.105158,5.813615
0.050000,3.215826,11.583107,1.629741,2.785287,3.151119,3.231642,5.778812
0.050000,3.343755,11.509590,1.777289,2.950969,3.313645,3.250510,5.744886
0.050000,3.476542,11.427279,1.933517,3.124570,3.472009,3.167286,5.712233
0.050000,3.614180,11.335768,2.098801,3.305669,3.621989,2.999602,5.681226
0.050000,3.754091,11.236619,2.270282,3.429614,2.478902,-22.861751,5.652713
0.050000,3.893738,11.131887,2.444838,3.491134,1.230396,-24.970121,5.627274
0.050000,4.033210,11.021979,2.622411,3.551454,1.206400,-0.479916,5.604851
0.050000,4.172619,10.907307,2.802923,3.610244,1.175804,-0.611914,5.585366
0.050000,4.312109,10.788284,2.986291,3.667365,1.142425,-0.667578,5.568736
0.050000,4.451852,10.665318,3.172433,3.722827,1.109237,-0.663772,5.554879
0.050000,4.592049,10.538809,3.361270,3.776751,1.078472,-0.615305,5.543718
0.050000,4.732928,10.409147,3.552737,3.829338,1.051751,-0.534405,5.535185
0.050000,4.874749,10.276710,3.746780,3.880849,1.030214,-0.430751,5.529228
0.050000,5.017793,10.141870,3.943359,3.931580,1.014623,-0.311805,5.525807
0.050000,5.162370,10.004994,4.142451,3.981853,1.005459,-0.183287,5.524900
0.050000,5.308817,9.866445,4.344052,4.032002,1.002974,-0.049694,5.526500
0.050000,5.457494,9.726590,4.548170,4.082364,1.007233,0.085179,5.530618
0.050000,5.608786,9.585804,4.754833,4.133270,1.018119,0.217719,5.537282
0.050000,5.763102,9.444479,4.964085,4.185035,1.035319,0.343991,5.546534
0.050000,5.920874,9.303027,5.175982,4.237949,1.058280,0.459215,5.558433
0.050000,6.082552,9.161893,5.390595,4.292257,1.086142,0.557248,5.573048
0.050000,6.248603,9.021561,5.608002,4.348139,1.117645,0.630069,5.590457
0.050000,6.419501,8.882568,5.828287,4.405689,1.151012,0.667336,5.610746
0.050000,6.595719,8.745510,6.051531,4.464880,1.183818,0.656118,5.633995
0.050000,6.777717,8.611056,6.277807,4.525524,1.212868,0.580993,5.660277
0.050000,6.964935,8.480616,6.505985,4.563568,0.760895,-9.039464,5.689489
0.050000,7.153970,8.357261,6.731708,4.514452,-0.982319,-34.864274,5.720974
0.050000,7.341879,8.243115,6.951569,4.397227,-2.344508,-27.243772,5.754006
0.050000,7.528079,8.138412,7.165188,4.272382,-2.496903,-3.047911,5.788203
0.050000,7.711892,8.043267,7.372166,4.139550,-2.656632,-3.194578,5.823167
0.050000,7.892567,7.957662,7.572095,3.998591,-2.819193,-3.251218,5.858490
0.050000,8.069313,7.881440,7.764577,3.849623,-2.979358,-3.203304,5.893771
0.050000,8.241331,7.814312,7.949228,3.693033,-3.131798,-3.048804,5.928630
0.050000,8.407844,7.755866,8.125701,3.529447,-3.271709,-2.798221,5.962716
0.050000,8.568125,7.705580,8.293685,3.359681,-3.395323,-2.472275,5.995720
0.050000,8.721519,7.662853,8.452918,3.184670,-3.500218,-2.097896,6.027380
0.050000,8.867454,7.627021,8.603188,3.005400,-3.585400,-1.703642,6.057483
0.050000,9.005451,7.597390,8.744330,2.822841,-3.651183,-1.315661,6.085864
0.050000,9.135118,7.573251,8.876225,2.637895,-3.698928,-0.954889,6.112405
0.050000,9.256150,7.553910,8.998793,2.451359,-3.730717,-0.635784,6.137026
0.050000,9.368318,7.538695,9.111988,2.263907,-3.749035,-0.366359,6.159680
0.050000,9.471458,7.526973,9.215792,2.076083,-3.756491,-0.149124,6.180351
0.050000,9.565461,7.518160,9.310207,1.888302,-3.755613,0.017553,6.199039
0.050000,9.650261,7.511722,9.395251,1.700866,-3.748713,0.138002,6.215762
0.050000,9.725823,7.507181,9.470950,1.513976,-3.737811,0.218041,6.230548
0.050000,9.792140,7.504116,9.537337,1.327745,-3.724612,0.263985,6.243430
0.050000,9.849217,7.502161,9.594448,1.142220,-3.710511,0.282016,6.254443
0.050000,9.897073,7.501005,9.642317,0.957389,-3.696621,0.277799,6.263621
0.050000,9.935728,7.500391,9.680977,0.773198,-3.683808,0.256265,6.270997
0.050000,9.965204,7.500115,9.710455,0.589562,-3.672728,0.221605,6.276599
0.050000,9.985523,7.500020,9.730774,0.406369,-3.663863,0.177300,6.280448
0.050000,9.996697,7.500001,9.741948,0.223491,-3.657552,0.126217,6.282561
0.050000,10.000000,7.500000,9.745251,0.066058,-3.148653,10.177977,0.000000
0.050000,10.000000,7.500000,9.745251,0.000000,-1.321168,36.549710,0.000000
