dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.663595,22.000000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,1.678410,22.000000,0.018519,0.296296,2.962963,-0.000000,0.000000
0.050000,1.708040,22.000000,0.048148,0.592593,5.925926,59.259259,0.000000
0.050000,1.752484,22.000000,0.092593,0.888889,5.925926,0.000000,0.000000
0.050000,1.811743,22.000000,0.151852,1.185185,5.925926,-0.000000,0.000000
0.050000,1.885818,22.000000,0.225926,1.481481,5.925926,0.000000,0.000000
0.050000,1.974706,22.000000,0.314815,1.777778,5.925926,-0.000000,0.000000
0.050000,2.078410,22.000000,0.418519,2.074074,5.925926,-0.000000,0.000000
0.050000,2.196929,22.000000,0.537037,2.370370,5.925926,0.000000,0.000000
0.050000,2.330262,22.000000,0.670370,2.666667,5.925926,0.000000,0.000000
0.050000,2.478410,22.000000,0.818519,2.962963,5.925926,0.000000,0.000000
0.050000,2.641373,22.000000,0.981481,3.259259,5.925926,-0.000000,0.000000
0.050000,2.819151,22.000000,1.159259,3.555556,5.925926,-0.000000,0.000000
0.050000,3.011743,22.000000,1.351852,3.851852,5.925926,0.000000,0.000000
0.050000,3.219151,22.000000,1.559259,4.148148,5.925926,-0.000000,0.000000
0.050000,3.441373,22.000000,1.781481,4.444444,5.925926,0.000000,0.000000
0.050000,3.678410,22.000000,2.018519,4.740741,5.925926,0.000000,0.000000
0.050000,3.930262,22.000000,2.270370,5.037037,5.925926,0.000000,0.000000
0.050000,4.196929,22.000000,2.537037,5.333333,5.925926,-0.000000,0.000000
0.050000,4.478410,22.000000,2.818519,5.629630,5.925926,0.000000,0.000000
0.050000,4.774706,22.000000,3.114815,5.925926,5.925926,-0.000000,0.000000
0.050000,5.085818,22.000000,3.425926,6.222222,5.925926,0.000000,0.000000
0.050000,5.411743,22.000000,3.751852,6.518519,5.925926,-0.000000,0.000000
0.050000,5.752484,22.000000,4.092593,6.814815,5.925926,0.000000,0.000000
0.050000,6.108040,22.000000,4.448148,7.111111,5.925926,-0.000000,0.000000
0.050000,6.478410,22.000000,4.818519,7.407407,5.925926,0.000000,0.000000
0.050000,6.863595,22.000000,5.203704,7.703704,5.925926,0.000000,0.000000
0.050000,7.259892,22.000000,5.600000,7.925926,4.444444,-29.629630,0.000000
0.050000,7.659892,22.000000,6.000000,8.000000,1.481481,-59.259259,0.000000
0.050000,8.059892,22.000000,6.400000,8.000000,0.000000,-29.629630,0.000000
0.050000,8.459892,22.000000,6.800000,8.000000,0.000000,-0.000000,0.000000
0.050000,8.859892,22.000000,7.200000,8.000000,0.000000,0.000000,0.000000
0.050000,9.259892,22.000000,7.600000,8.000000,-0.000000,-0.000000,0.000000
0.050000,9.659892,22.000000,8.000000,8.000000,0.000000,0.000000,0.000000
0.050000,10.059892,22.000000,8.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,10.459892,22.000000,8.800000,8.000000,0.000000,0.000000,0.000000
0.050000,10.859433,22.000000,9.199542,7.990835,-0.183308,-3.666159,0.000000
0.050000,11.254355,22.000000,9.594463,7.898430,-1.848097,-33.295789,0.000000
0.050000,11.637707,22.000000,9.977815,7.667042,-4.627752,-55.593100,0.000000
0.050000,12.006244,22.000000,10.346353,7.370746,-5.925926,-25.963471,0.000000
0.050000,12.359967,22.000000,10.700075,7.074450,-5.925926,0.000000,0.000000
0.050000,12.624877,21.995665,10.965020,5.298906,-35.510872,-591.698926,6.209333
0.050000,12.782418,21.972609,11.124240,3.184385,-42.290422,-135.591003,6.044633
0.050000,12.860288,21.946065,11.206510,1.645411,-30.779473,230.218988,5.817787
0.050000,12.876554,21.936013,11.225631,0.382418,-25.259860,110.392267,5.542491
0.050000,12.886097,21.923493,11.241373,0.314835,-1.351664,478.163921,5.278620
0.050000,12.913074,21.866863,11.304101,1.254559,18.794474,402.922757,5.076612
0.050000,12.944734,21.759355,11.416173,2.241454,19.737907,18.868659,4.938752
0.050000,12.970007,21.617580,11.560183,2.880192,12.774758,-139.262978,4.847607
0.050000,12.986469,21.458023,11.720587,3.208077,6.557696,-124.341240,4.787645
0.050000,12.995501,21.291738,11.887117,3.330604,2.450554,-82.142852,4.748612
0.050000,12.999320,21.125563,12.053337,3.324391,-0.124279,-51.496646,4.724076
0.050000,13.000000,20.961318,12.217583,3.284930,-0.789205,-13.298536,4.712389
0.050000,13.000000,20.800188,12.378713,3.222598,-1.246652,-9.148933,4.712389
0.050000,13.000000,20.653873,12.525028,2.926301,-5.925926,-93.585477,4.712389
0.050000,13.000000,20.522372,12.656528,2.630005,-5.925926,0.000000,4.712389
0.050000,13.000000,20.405687,12.773214,2.333709,-5.925926,0.000000,4.712389
0.050000,13.000000,20.303816,12.875084,2.037412,-5.925926,-0.000000,4.712389
0.050000,13.000000,20.216761,12.962140,1.741116,-5.925926,-0.000000,4.712389
0.050000,13.000000,20.144520,13.034381,1.444820,-5.925926,-0.000000,4.712389
0.050000,13.000000,20.087093,13.091807,1.148524,-5.925926,0.000000,4.712389
0.050000,13.000000,20.044482,13.134419,0.852227,-5.925926,0.000000,4.712389
0.050000,13.000000,20.016685,13.162215,0.555931,-5.925926,0.000000,4.712389
0.050000,13.000000,20.003245,13.175655,0.268800,-5.742618,3.666159,4.712389
0.050000,13.000000,20.000000,13.178901,0.064909,-4.077829,33.295789,4.712389
0.050000,13.000000,20.000000,13.178901,0.000000,-1.298174,55.593100,4.712389
