dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.996950,19.000000,0.003125,0.125000,2.500000,50.000000,3.141615
0.050000,22.984551,18.999999,0.015524,0.247983,2.459656,-0.806880,3.141716
0.050000,22.959799,18.999993,0.040277,0.495049,4.941331,49.633497,3.141963
0.050000,22.922785,18.999971,0.077291,0.740279,4.904595,-0.734726,3.142450
0.050000,22.873648,18.999909,0.126428,0.982739,4.849205,-1.107794,3.143313
0.050000,22.812574,18.999762,0.187501,1.221470,4.774621,-1.491679,3.144739
0.050000,22.739802,18.999455,0.260274,1.455460,4.679785,-1.896725,3.146966
0.050000,22.655624,18.998869,0.344454,1.683600,4.562816,-2.339379,3.150286
0.050000,22.560398,18.997823,0.439686,1.904630,4.420599,-2.844330,3.155054
0.050000,22.454561,18.996059,0.545538,2.117042,4.248231,-3.447364,3.161702
0.050000,22.338648,18.993222,0.661485,2.318955,4.038260,-4.199414,3.170754
0.050000,22.213328,18.988834,0.786882,2.507937,3.779643,-5.172353,3.182856
0.050000,22.079451,18.982273,0.920920,2.680751,3.456286,-6.467141,3.198817
0.050000,21.938121,18.972751,1.062570,2.833005,3.045072,-8.224276,3.219665
0.050000,21.790801,18.959292,1.210504,2.958673,2.513365,-10.634145,3.246726
0.050000,21.639459,18.940742,1.362979,3.049499,1.816522,-13.936850,3.281744
0.050000,21.486761,18.915812,1.517698,3.094381,0.897632,-18.377802,3.327011
0.050000,21.336292,18.883213,1.671658,3.079206,-0.303505,-24.022743,3.385529
0.050000,21.192677,18.841942,1.821085,2.988549,-1.813131,-30.192510,3.461066
0.050000,21.061321,18.791702,1.961722,2.812727,-3.516444,-34.066261,3.557875
0.050000,20.947148,18.733146,2.090035,2.566257,-4.929400,-28.259131,3.679483
0.050000,20.851973,18.666894,2.205999,2.319284,-4.939460,-0.201192,3.825915
0.050000,20.772186,18.590209,2.316663,2.213284,-2.119991,56.389382,3.990126
0.050000,20.701048,18.493863,2.436426,2.395253,3.639380,115.187420,4.157722
0.050000,20.635310,18.365292,2.580828,2.888037,9.855674,124.325881,4.313175
0.050000,20.577835,18.196401,2.759231,3.568065,13.600559,74.897696,4.447139
0.050000,20.533900,17.986718,2.973467,4.284724,14.333188,14.652587,4.557794
0.050000,20.507438,17.740631,3.220972,4.950103,13.307578,-20.512209,4.647705
0.050000,20.500000,17.455552,3.506149,5.703534,15.068619,35.220831,4.712389
0.050000,20.500000,17.093052,3.868649,7.250000,30.929316,317.213922,4.712389
0.050000,20.500000,16.718052,4.243649,7.500000,5.000000,-518.586311,4.712389
0.050000,20.500000,16.330552,4.631149,7.750000,5.000000,-0.000000,4.712389
0.050000,20.500000,15.933677,5.028024,7.937500,3.750000,-25.000000,4.712389
0.050000,20.500000,15.533677,5.428024,8.000000,1.250000,-50.000000,4.712389
0.050000,20.500000,15.133677,5.828024,8.000000,0.000000,-25.000000,4.712389
0.050000,20.500000,14.733677,6.228024,8.000000,0.000000,0.000000,4.712389
0.050000,20.500000,14.333677,6.628024,8.000000,-0.000000,-0.000000,4.712389
0.050000,20.500000,13.933677,7.028024,8.000000,0.000000,0.000000,4.712389
0.050000,20.500000,13.533677,7.428024,8.000000,0.000000,-0.000000,4.712389
0.050000,20.500000,13.134114,7.827587,7.991259,-0.174829,-3.496583,4.712389
0.050000,20.500000,12.738550,8.223151,7.911276,-1.599658,-28.496583,4.712389
0.050000,20.500000,12.352798,8.608902,7.715034,-3.924829,-46.503417,4.712389
0.050000,20.500000,11.979547,8.982154,7.465034,-5.000000,-21.503417,4.712389
0.050000,20.500000,11.618795,9.342906,7.215034,-5.000000,-0.000000,4.712389
0.050000,20.500000,11.270543,9.691157,6.965034,-5.000000,0.000000,4.712389
0.050000,20.500000,10.934791,10.026909,6.715034,-5.000000,0.000000,4.712389
0.050000,20.500000,10.611540,10.350161,6.465034,-5.000000,0.000000,4.712389
0.050000,20.500000,10.300788,10.660913,6.215034,-5.000000,-0.000000,4.712389
0.050000,20.500000,10.002536,10.959164,5.965034,-5.000000,0.000000,4.712389
0.050000,20.500000,9.716785,11.244916,5.715034,-5.000000,0.000000,4.712389
0.050000,20.499875,9.439326,11.522375,5.549175,-3.317186,33.656272,4.708151
0.050000,20.494631,9.148321,11.813427,5.821048,5.437468,175.093097,4.677839
0.050000,20.477713,8.852476,12.109756,5.926568,2.110388,-66.541604,4.629733
0.050000,20.442769,8.550446,12.413800,6.080880,3.086249,19.517223,4.561382
0.050000,20.381649,8.241309,12.728921,6.302424,4.430876,26.892535,4.469401
0.050000,20.284219,7.926862,13.058116,6.583903,5.629588,23.974237,4.350764
0.050000,20.140428,7.615430,13.401141,6.860506,5.532048,-1.950803,4.205689
0.050000,19.946651,7.324586,13.750626,6.989691,2.583706,-58.966834,4.041563
0.050000,19.713284,7.076320,14.091355,6.814578,-3.502264,-121.719398,3.873685
0.050000,19.463145,6.884440,14.406613,6.305160,-10.188348,-133.721680,3.718863
0.050000,19.219227,6.747730,14.686229,5.592326,-14.256684,-81.366727,3.587296
0.050000,18.995574,6.655313,14.928225,4.839913,-15.048268,-15.831687,3.480938
0.050000,18.797468,6.594731,15.135386,4.143236,-13.933535,22.294671,3.396967
0.050000,18.625321,6.555867,15.311866,3.529587,-12.272983,33.211033,3.331208
