dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.996905,21.000000,0.003125,0.125000,2.500000,50.000000,3.141615
0.050000,22.984305,20.999999,0.015726,0.252017,2.540344,0.806880,3.141716
0.050000,22.959057,20.999993,0.040973,0.504951,5.058669,50.366502,3.141963
0.050000,22.921071,20.999970,0.078959,0.759721,5.095405,0.734722,3.142450
0.050000,22.870208,20.999906,0.129822,1.017261,5.150794,1.107780,3.143313
0.050000,22.806282,20.999752,0.193749,1.278529,5.225376,1.491638,3.144739
0.050000,22.729055,20.999427,0.270976,1.544540,5.320207,1.896622,3.146966
0.050000,22.638238,20.998794,0.361796,1.816398,5.437165,2.339148,3.150286
0.050000,22.533476,20.997642,0.466564,2.095366,5.579357,2.843851,3.155054
0.050000,22.414345,20.995655,0.585712,2.382950,5.751679,3.446439,3.161702
0.050000,22.280334,20.992372,0.719763,2.681028,5.961564,4.197699,3.170754
0.050000,22.130824,20.987131,0.869364,2.992029,6.220027,5.169270,3.182856
0.050000,21.965064,20.979000,1.035324,3.319185,6.543112,6.461692,3.198817
0.050000,21.782136,20.966659,1.218668,3.666877,6.953848,8.214723,3.219665
0.050000,21.580921,20.948249,1.420723,4.041113,7.484718,10.617404,3.246726
0.050000,21.360073,20.921132,1.643229,4.450118,8.180088,13.907395,3.281744
0.050000,21.118045,20.881530,1.888476,4.904937,9.096375,18.325738,3.327011
0.050000,20.853243,20.824003,2.159455,5.419582,10.292919,23.930879,3.385529
0.050000,20.564543,20.740744,2.459921,6.009313,11.794605,30.033718,3.461066
0.050000,20.252594,20.620899,2.794099,6.683565,13.485047,33.808846,3.557875
0.050000,19.922496,20.450729,3.165478,7.427580,14.880293,27.904913,3.679483
0.050000,19.587676,20.216589,3.574044,8.171320,14.874813,-0.109606,3.825915
0.050000,19.271563,19.912378,4.012760,8.774322,12.060026,-56.295732,3.990126
0.050000,19.000896,19.547183,4.467323,9.091254,6.338656,-114.427395,4.157722
0.050000,18.792577,19.142681,4.922316,9.099872,0.172346,-123.326200,4.313175
0.050000,18.647781,18.720702,5.368446,8.922596,-3.545518,-74.357291,4.447139
0.050000,18.557752,18.294678,5.803879,8.708654,-4.278838,-14.666388,4.557794
0.050000,18.511621,17.869908,6.231147,8.545358,-3.265920,20.258353,4.647705
0.050000,18.500000,17.455552,6.645666,8.290389,-5.099377,-36.669140,4.712389
0.050000,18.500000,17.093052,7.008166,7.250000,-20.807782,-314.168101,4.712389
0.050000,18.500000,16.718052,7.383166,7.500000,5.000000,516.155642,4.712389
0.050000,18.500000,16.330552,7.770666,7.750000,5.000000,-0.000000,4.712389
0.050000,18.500000,15.933677,8.167541,7.937500,3.750000,-25.000000,4.712389
0.050000,18.500000,15.533677,8.567541,8.000000,1.250000,-50.000000,4.712389
0.050000,18.500000,15.133677,8.967541,8.000000,0.000000,-25.000000,4.712389
0.050000,18.500000,14.733677,9.367541,8.000000,0.000000,0.000000,4.712389
0.050000,18.500000,14.333677,9.767541,8.000000,-0.000000,-0.000000,4.712389
0.050000,18.500000,13.933677,10.167541,8.000000,0.000000,0.000000,4.712389
0.050000,18.500000,13.533677,10.567541,8.000000,0.000000,-0.000000,4.712389
0.050000,18.500000,13.134114,10.967104,7.991259,-0.174829,-3.496583,4.712389
0.050000,18.500000,12.738550,11.362668,7.911276,-1.599658,-28.496583,4.712389
0.050000,18.500000,12.352798,11.748420,7.715034,-3.924829,-46.503417,4.712389
0.050000,18.500000,11.979547,12.121671,7.465034,-5.000000,-21.503417,4.712389
0.050000,18.500000,11.618795,12.482423,7.215034,-5.000000,-0.000000,4.712389
0.050000,18.500000,11.270543,12.830675,6.965034,-5.000000,0.000000,4.712389
0.050000,18.500000,10.934791,13.166426,6.715034,-5.000000,0.000000,4.712389
0.050000,18.500000,10.611540,13.489678,6.465034,-5.000000,0.000000,4.712389
0.050000,18.500000,10.300788,13.800430,6.215034,-5.000000,-0.000000,4.712389
0.050000,18.500000,10.002536,14.098682,5.965034,-5.000000,0.000000,4.712389
0.050000,18.500000,9.716785,14.384433,5.715034,-5.000000,0.000000,4.712389
0.050000,18.499893,9.447803,14.653415,5.379638,-6.707923,-34.158459,4.708151
0.050000,18.495825,9.217408,14.883846,4.608620,-15.420358,-174.248704,4.677839
0.050000,18.484542,9.017599,15.083973,4.002544,-12.121512,65.976914,4.629733
0.050000,18.465529,8.851314,15.251341,3.347357,-13.103749,-19.644723,4.561382
0.050000,18.440402,8.722517,15.382567,2.624506,-14.457012,-27.065262,4.469401
0.050000,18.413573,8.634451,15.474629,1.841240,-15.665326,-24.166277,4.350764
0.050000,18.391726,8.586018,15.527761,1.062638,-15.572039,1.865733,4.205689
0.050000,18.380034,8.567852,15.549364,0.432070,-12.611371,59.213355,4.041563
0.050000,18.376430,8.563875,15.554731,0.107346,-6.494472,122.337984,3.873685
0.050000,18.371668,8.560351,15.560656,0.118488,0.222838,134.346199,3.718863
0.050000,18.357042,8.552345,15.577330,0.333475,4.299748,81.538203,3.587296
0.050000,18.329834,8.541258,15.606710,0.587601,5.082519,15.655409,3.480938
0.050000,18.292252,8.529869,15.645979,0.785386,3.955692,-22.536527,3.396967
0.050000,18.248359,8.520021,15.690963,0.899684,2.285962,-33.394612,3.331208
0.050000,18.202145,8.512428,15.737797,0.936686,0.740034,-30.918553,3.279795
0.050000,18.156854,8.507083,15.783402,0.912092,-0.491871,-24.638094,3.239651
0.050000,18.114929,8.503634,15.825469,0.841340,-1.415045,-18.463486,3.208468
0.050000,18.078136,8.501620,15.862317,0.736955,-2.087697,-13.453048,3.184565
0.050000,18.047729,8.500588,15.892742,0.608497,-2.569157,-9.629193,3.166739
0.050000,18.024574,8.500153,15.915901,0.463187,-2.906199,-6.740830,3.154147
0.050000,18.009245,8.500021,15.931230,0.306583,-3.132094,-4.517901,3.146224
0.050000,18.001796,8.500001,15.938679,0.148978,-3.152101,-0.400157,3.142484
0.050000,18.000000,8.500000,15.940475,0.035927,-2.261007,17.821895,3.141593
0.050000,18.000000,8.500000,15.940475,0.000000,-0.718544,30.849245,3.141593
