dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.997007,19.000000,0.003013,0.120521,2.410425,48.208495,3.141593
0.050000,22.984955,19.000000,0.015065,0.241042,2.410425,-0.000000,3.141593
0.050000,22.960851,19.000000,0.039169,0.482085,4.820850,48.208495,3.141593
0.050000,22.924694,19.000000,0.075326,0.723127,4.820850,-0.000000,3.141593
0.050000,22.876486,19.000000,0.123534,0.964170,4.820850,-0.000000,3.141593
0.050000,22.816225,19.000000,0.183795,1.205212,4.820850,0.000000,3.141593
0.050000,22.743912,19.000000,0.256108,1.446255,4.820850,-0.000000,3.141593
0.050000,22.659548,19.000000,0.340472,1.687297,4.820850,-0.000000,3.141593
0.050000,22.563131,19.000000,0.436889,1.928340,4.820850,0.000000,3.141593
0.050000,22.454661,19.000000,0.545359,2.169382,4.820850,-0.000000,3.141593
0.050000,22.334140,19.000000,0.665880,2.410425,4.820850,0.000000,3.141593
0.050000,22.201567,19.000000,0.798453,2.651467,4.820850,-0.000000,3.141593
0.050000,22.056941,19.000000,0.943079,2.892510,4.820850,0.000000,3.141593
0.050000,21.900264,19.000000,1.099756,3.133552,4.820850,0.000000,3.141593
0.050000,21.731534,19.000000,1.268486,3.374595,4.820850,-0.000000,3.141593
0.050000,21.550752,19.000000,1.449268,3.615637,4.820850,-0.000000,3.141593
0.050000,21.357918,19.000000,1.642102,3.856680,4.820850,-0.000000,3.141593
0.050000,21.153032,19.000000,1.846988,4.097722,4.820850,0.000000,3.141593
0.050000,20.955960,18.999560,2.044060,3.941450,-3.125436,-158.925702,3.161425
0.050000,20.792480,18.990793,2.207775,3.274289,-13.343226,-204.355816,3.226672
0.050000,20.612726,18.970064,2.388720,3.618908,6.892383,404.712189,3.283581
0.050000,20.422674,18.938285,2.581411,3.853810,4.698039,-43.886885,3.328453
0.050000,20.229940,18.898464,2.778216,3.936112,1.646034,-61.040102,3.360027
0.050000,20.038221,18.853757,2.975078,3.937234,0.022443,-32.471823,3.379499
0.050000,19.848833,18.806756,3.170212,3.902677,-0.691137,-14.271596,3.388649
0.050000,19.662935,18.759694,3.361974,3.835250,-1.348550,-13.148252,3.389118
0.050000,19.481602,18.714410,3.548876,3.738030,-1.944383,-11.916665,3.382396
0.050000,19.305889,18.672340,3.729556,3.613592,-2.488767,-10.887669,3.369844
0.050000,19.136873,18.634529,3.902749,3.463871,-2.994415,-10.112971,3.352724
0.050000,18.975675,18.601650,4.067266,3.290341,-3.470603,-9.523749,3.332227
0.050000,18.823447,18.574023,4.221980,3.094285,-3.921114,-9.010233,3.309481
0.050000,18.681344,18.551653,4.365833,2.877059,-4.344529,-8.468290,3.285544
0.050000,18.550480,18.534272,4.497847,2.640267,-4.735848,-7.826391,3.261395
0.050000,18.431886,18.521391,4.617138,2.385831,-5.088713,-7.057287,3.237916
0.050000,18.326474,18.512368,4.722936,2.115955,-5.397514,-6.176018,3.215879
0.050000,18.235013,18.506471,4.814587,1.833011,-5.658882,-5.227378,3.195938
0.050000,18.158124,18.502953,4.891556,1.539396,-5.872298,-4.268309,3.178626
0.050000,18.096281,18.501102,4.953427,1.237403,-6.039860,-3.351242,3.164362
0.050000,18.049832,18.500296,4.999883,0.929129,-6.165491,-2.512620,3.153460
0.050000,18.019011,18.500043,5.030705,0.616434,-6.253889,-1.767960,3.146140
0.050000,18.003765,18.500002,5.045951,0.304916,-6.230364,0.470509,3.142495
0.050000,18.000000,18.500000,5.049716,0.075305,-4.592222,32.762829,3.141593
0.050000,18.000000,18.500000,5.049716,0.000000,-1.506100,61.722449,3.141593
