dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.997007,21.000000,0.003013,0.120521,2.410425,48.208495,3.141593
0.050000,22.984955,21.000000,0.015065,0.241042,2.410425,-0.000000,3.141593
0.050000,22.960851,21.000000,0.039169,0.482085,4.820850,48.208495,3.141593
0.050000,22.924694,21.000000,0.075326,0.723127,4.820850,-0.000000,3.141593
0.050000,22.876486,21.000000,0.123534,0.964170,4.820850,-0.000000,3.141593
0.050000,22.816225,21.000000,0.183795,1.205212,4.820850,0.000000,3.141593
0.050000,22.743912,21.000000,0.256108,1.446255,4.820850,-0.000000,3.141593
0.050000,22.659548,21.000000,0.340472,1.687297,4.820850,-0.000000,3.141593
0.050000,22.563131,21.000000,0.436889,1.928340,4.820850,0.000000,3.141593
0.050000,22.454661,21.000000,0.545359,2.169382,4.820850,-0.000000,3.141593
0.050000,22.334140,21.000000,0.665880,2.410425,4.820850,0.000000,3.141593
0.050000,22.201567,21.000000,0.798453,2.651467,4.820850,-0.000000,3.141593
0.050000,22.056941,21.000000,0.943079,2.892510,4.820850,0.000000,3.141593
0.050000,21.900264,21.000000,1.099756,3.133552,4.820850,0.000000,3.141593
0.050000,21.731534,21.000000,1.268486,3.374595,4.820850,-0.000000,3.141593
0.050000,21.550752,21.000000,1.449268,3.615637,4.820850,-0.000000,3.141593
0.050000,21.357918,21.000000,1.642102,3.856680,4.820850,-0.000000,3.141593
0.050000,21.153032,21.000000,1.846988,4.097722,4.820850,0.000000,3.141593
0.050000,20.916298,20.999166,2.083724,4.734716,12.739874,158.380488,3.161425
0.050000,20.622527,20.983559,2.377909,5.883699,22.979660,204.795719,3.226672
0.050000,20.329703,20.949937,2.672657,5.894966,0.225347,-455.086262,3.283581
0.050000,20.051126,20.903470,2.955083,5.648515,-4.929028,-103.087495,3.328453
0.050000,19.796536,20.850940,3.215035,5.199049,-8.989314,-81.205713,3.360027
0.050000,19.566885,20.797424,3.450839,4.716085,-9.659283,-13.399382,3.379499
0.050000,19.359732,20.746029,3.664273,4.268665,-8.948395,14.217749,3.388649
0.050000,19.172923,20.698737,3.856974,3.854036,-8.292578,13.116340,3.389118
0.050000,19.004636,20.656703,4.030432,3.469157,-7.697584,11.899886,3.382396
0.050000,18.853340,20.620468,4.186006,3.111480,-7.153543,10.880826,3.369844
0.050000,18.717741,20.590119,4.324961,2.779084,-6.647925,10.112363,3.352724
0.050000,18.596711,20.565418,4.448486,2.470504,-6.171588,9.526737,3.332227
0.050000,18.489245,20.545902,4.557709,2.184462,-5.720844,9.014884,3.309481
0.050000,18.394434,20.530967,4.653689,1.919603,-5.297184,8.473184,3.285544
0.050000,18.311448,20.519937,4.737405,1.674320,-4.905657,7.830547,3.261395
0.050000,18.239537,20.512120,4.809739,1.446688,-4.552650,7.060141,3.237916
0.050000,18.178037,20.506852,4.871464,1.234498,-4.243781,6.177388,3.215879
0.050000,18.126376,20.503519,4.923233,1.035378,-3.982411,5.227390,3.195938
0.050000,18.084074,20.501581,4.965579,0.846926,-3.769047,4.267291,3.178626
0.050000,18.050747,20.500583,4.998922,0.666847,-3.601566,3.349614,3.164362
0.050000,18.026098,20.500156,5.023574,0.493046,-3.476026,2.510798,3.153460
0.050000,18.009916,20.500023,5.039757,0.323660,-3.387711,1.766298,3.146140
0.050000,18.001960,20.500001,5.047713,0.159114,-3.290933,1.935556,3.142495
0.050000,18.000000,20.500000,5.049673,0.039198,-2.398316,17.852337,3.141593
0.050000,18.000000,20.500000,5.049673,0.000000,-0.783960,32.287135,3.141593
