dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.666107,22.500000,0.006250,0.250000,5.000000,100.000000,0.000000
0.050000,1.684857,22.500000,0.025000,0.375000,2.500000,-50.000000,0.000000
0.050000,1.716107,22.500000,0.056250,0.625000,5.000000,50.000000,0.000000
0.050000,1.759857,22.500000,0.100000,0.875000,5.000000,0.000000,0.000000
0.050000,1.816107,22.500000,0.156250,1.125000,5.000000,-0.000000,0.000000
0.050000,1.884857,22.500000,0.225000,1.375000,5.000000,-0.000000,0.000000
0.050000,1.966107,22.500000,0.306250,1.625000,5.000000,0.000000,0.000000
0.050000,2.059857,22.500000,0.400000,1.875000,5.000000,0.000000,0.000000
0.050000,2.166107,22.500000,0.506250,2.125000,5.000000,-0.000000,0.000000
0.050000,2.284857,22.500000,0.625000,2.375000,5.000000,-0.000000,0.000000
0.050000,2.416107,22.500000,0.756250,2.625000,5.000000,0.000000,0.000000
0.050000,2.559857,22.500000,0.900000,2.875000,5.000000,0.000000,0.000000
0.050000,2.716107,22.500000,1.056250,3.125000,5.000000,0.000000,0.000000
0.050000,2.884857,22.500000,1.225000,3.375000,5.000000,-0.000000,0.000000
0.050000,3.066107,22.500000,1.406250,3.625000,5.000000,-0.000000,0.000000
0.050000,3.259857,22.500000,1.600000,3.875000,5.000000,0.000000,0.000000
0.050000,3.466107,22.500000,1.806250,4.125000,5.000000,-0.000000,0.000000
0.050000,3.684857,22.500000,2.025000,4.375000,5.000000,-0.000000,0.000000
0.050000,3.916107,22.500000,2.256250,4.625000,5.000000,0.000000,0.000000
0.050000,4.159857,22.500000,2.500000,4.875000,5.000000,-0.000000,0.000000
0.050000,4.416107,22.500000,2.756250,5.125000,5.000000,0.000000,0.000000
0.050000,4.684857,22.500000,3.025000,5.375000,5.000000,-0.000000,0.000000
0.050000,4.966107,22.500000,3.306250,5.625000,5.000000,0.000000,0.000000
0.050000,5.259857,22.500000,3.600000,5.875000,5.000000,0.000000,0.000000
0.050000,5.566107,22.500000,3.906250,6.125000,5.000000,-0.000000,0.000000
0.050000,5.884857,22.500000,4.225000,6.375000,5.000000,0.000000,0.000000
0.050000,6.216107,22.500000,4.556250,6.625000,5.000000,-0.000000,0.000000
0.050000,6.559857,22.500000,4.900000,6.875000,5.000000,0.000000,0.000000
0.050000,6.916107,22.500000,5.256250,7.125000,5.000000,0.000000,0.000000
0.050000,7.284857,22.500000,5.625000,7.375000,5.000000,0.000000,0.000000
0.050000,7.666107,22.500000,6.006250,7.625000,5.000000,-0.000000,0.000000
0.050000,8.059857,22.500000,6.400000,7.875000,5.000000,0.000000,0.000000
0.050000,8.459857,22.500000,6.800000,8.000000,2.500000,-50.000000,0.000000
0.050000,8.859857,22.500000,7.200000,8.000000,0.000000,-50.000000,0.000000
0.050000,9.259857,22.500000,7.600000,8.000000,0.000000,0.000000,0.000000
0.050000,9.659857,22.500000,8.000000,8.000000,0.000000,-0.000000,0.000000
0.050000,10.059857,22.500000,8.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,10.459857,22.500000,8.800000,8.000000,-0.000000,0.000000,0.000000
0.050000,10.859857,22.500000,9.200000,8.000000,0.000000,0.000000,0.000000
0.050000,11.259857,22.500000,9.600000,8.000000,-0.000000,-0.000000,0.000000
0.050000,11.659857,22.500000,10.000000,8.000000,0.000000,0.000000,0.000000
0.050000,12.059857,22.500000,10.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,12.459857,22.500000,10.800000,8.000000,0.000000,0.000000,0.000000
0.050000,12.859857,22.500000,11.200000,8.000000,0.000000,0.000000,0.000000
0.050000,13.259857,22.500000,11.600000,8.000000,-0.000000,-0.000000,0.000000
0.050000,13.659857,22.500000,12.000000,8.000000,0.000000,0.000000,0.000000
0.050000,14.059857,22.500000,12.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,14.459857,22.500000,12.800000,8.000000,0.000000,0.000000,0.000000
0.050000,14.859857,22.500000,13.200000,8.000000,0.000000,-0.000000,0.000000
0.050000,15.259857,22.500000,13.600000,8.000000,0.000000,0.000000,0.000000
0.050000,15.659857,22.500000,14.000000,8.000000,0.000000,0.000000,0.000000
0.050000,16.036233,22.499576,14.376377,7.527534,-9.449324,-188.986476,6.259633
0.050000,16.265538,22.475253,14.606968,4.611825,-58.314175,-977.297024,6.090501
0.050000,16.480725,22.413084,14.830955,4.479743,-2.641632,1113.450857,5.914779
0.050000,16.696606,22.308290,15.070928,4.799449,6.394108,180.714798,5.755008
0.050000,16.921681,22.155466,15.342982,5.441094,12.832906,128.775959,5.627247
0.050000,17.156732,21.955297,15.651716,6.174680,14.671708,36.776037,5.536088
0.050000,17.401046,21.714265,15.994915,6.863982,13.786049,-17.713162,5.479333
0.050000,17.654155,21.443384,16.365645,7.414600,11.012369,-55.473604,5.453608
0.050000,17.916461,21.156194,16.754596,7.779008,7.288153,-74.484320,5.455878
0.050000,18.192245,20.863401,17.156821,8.044499,5.309817,-39.566727,5.483935
0.050000,18.488623,20.573322,17.571532,8.294228,4.994586,-6.304612,5.537015
0.050000,18.812722,20.295276,17.998556,8.540469,4.924824,-1.395248,5.614966
0.050000,19.169543,20.041039,18.436685,8.762594,4.442498,-9.646523,5.716604
0.050000,19.558494,19.824856,18.881678,8.899848,2.745069,-33.948571,5.837688
0.050000,19.970310,19.660330,19.325143,8.869306,-0.610832,-67.118029,5.969796
0.050000,20.388170,19.554817,19.756118,8.619504,-4.996044,-87.704238,6.101904
