dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.662962,5.000000,0.003125,0.125000,2.500000,50.000000,0.000000
0.050000,1.675462,5.000000,0.015625,0.250000,2.500000,0.000000,0.000000
0.050000,1.700462,5.000000,0.040625,0.500000,5.000000,50.000000,0.000000
0.050000,1.737962,5.000000,0.078125,0.750000,5.000000,0.000000,0.000000
0.050000,1.787962,5.000000,0.128125,1.000000,5.000000,0.000000,0.000000
0.050000,1.850462,5.000000,0.190625,1.250000,5.000000,-0.000000,0.000000
0.050000,1.925462,5.000000,0.265625,1.500000,5.000000,0.000000,0.000000
0.050000,2.012962,5.000000,0.353125,1.750000,5.000000,0.000000,0.000000
0.050000,2.112962,5.000000,0.453125,2.000000,5.000000,-0.000000,0.000000
0.050000,2.225462,5.000000,0.565625,2.250000,5.000000,-0.000000,0.000000
0.050000,2.350462,5.000000,0.690625,2.500000,5.000000,-0.000000,0.000000
0.050000,2.487962,5.000000,0.828125,2.750000,5.000000,0.000000,0.000000
0.050000,2.637962,5.000000,0.978125,3.000000,5.000000,-0.000000,0.000000
0.050000,2.800462,5.000000,1.140625,3.250000,5.000000,0.000000,0.000000
0.050000,2.975462,5.000000,1.315625,3.500000,5.000000,-0.000000,0.000000
0.050000,3.162962,5.000000,1.503125,3.750000,5.000000,-0.000000,0.000000
0.050000,3.362962,5.000000,1.703125,4.000000,5.000000,-0.000000,0.000000
0.050000,3.575462,5.000000,1.915625,4.250000,5.000000,0.000000,0.000000
0.050000,3.800462,5.000000,2.140625,4.500000,5.000000,-0.000000,0.000000
0.050000,4.037962,5.000000,2.378125,4.750000,5.000000,-0.000000,0.000000
0.050000,4.287962,5.000000,2.628125,5.000000,5.000000,0.000000,0.000000
0.050000,4.550462,5.000000,2.890625,5.250000,5.000000,0.000000,0.000000
0.050000,4.825462,5.000000,3.165625,5.500000,5.000000,-0.000000,0.000000
0.050000,5.112962,5.000000,3.453125,5.750000,5.000000,0.000000,0.000000
0.050000,5.412962,5.000000,3.753125,6.000000,5.000000,-0.000000,0.000000
0.050000,5.725462,5.000000,4.065625,6.250000,5.000000,0.000000,0.000000
0.050000,6.050462,5.000000,4.390625,6.500000,5.000000,0.000000,0.000000
0.050000,6.387962,5.000000,4.728125,6.750000,5.000000,0.000000,0.000000
0.050000,6.737962,5.000000,5.078125,7.000000,5.000000,-0.000000,0.000000
0.050000,7.100462,5.000000,5.440625,7.250000,5.000000,0.000000,0.000000
0.050000,7.475462,5.000000,5.815625,7.500000,5.000000,-0.000000,0.000000
0.050000,7.862962,5.000000,6.203125,7.750000,5.000000,0.000000,0.000000
0.050000,8.259837,5.000000,6.600000,7.937500,3.750000,-25.000000,0.000000
0.050000,8.659837,5.000000,7.000000,8.000000,1.250000,-50.000000,0.000000
0.050000,9.059837,5.000000,7.400000,8.000000,-0.000000,-25.000000,0.000000
0.050000,9.459837,5.000000,7.800000,8.000000,0.000000,0.000000,0.000000
0.050000,9.859837,5.000000,8.200000,8.000000,0.000000,0.000000,0.000000
0.050000,10.259837,5.000000,8.600000,8.000000,0.000000,0.000000,0.000000
0.050000,10.659837,5.000000,9.000000,8.000000,0.000000,-0.000000,0.000000
0.050000,11.059837,5.000000,9.400000,8.000000,0.000000,0.000000,0.000000
0.050000,11.459837,5.000000,9.800000,8.000000,-0.000000,-0.000000,0.000000
0.050000,11.859837,5.000000,10.200000,8.000000,-0.000000,0.000000,0.000000
0.050000,12.259837,5.000000,10.600000,8.000000,0.000000,0.000000,0.000000
0.050000,12.659837,5.000000,11.000000,8.000000,0.000000,-0.000000,0.000000
0.050000,13.059837,5.000000,11.400000,8.000000,0.000000,0.000000,0.000000
0.050000,13.459837,5.000000,11.800000,8.000000,-0.000000,-0.000000,0.000000
0.050000,13.859837,5.000000,12.200000,8.000000,0.000000,0.000000,0.000000
0.050000,14.259837,5.000000,12.600000,8.000000,-0.000000,-0.000000,0.000000
0.050000,14.659837,5.000000,13.000000,8.000000,0.000000,0.000000,0.000000
0.050000,15.059837,5.000000,13.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,15.459837,5.000000,13.800000,8.000000,0.000000,0.000000,0.000000
0.050000,15.859837,5.000000,14.200000,8.000000,-0.000000,-0.000000,0.000000
0.050000,16.259837,5.000000,14.600000,8.000000,0.000000,0.000000,0.000000
0.050000,16.659837,5.000000,15.000000,8.000000,0.000000,0.000000,0.000000
0.050000,17.059837,5.000000,15.400000,8.000000,0.000000,-0.000000,0.000000
0.050000,17.459837,5.000000,15.800000,8.000000,0.000000,0.000000,0.000000
0.050000,17.859837,5.000000,16.200000,8.000000,0.000000,0.000000,0.000000
0.050000,18.153614,5.007492,16.493873,5.877467,-42.450659,-849.013184,0.105933
0.050000,18.313995,5.040516,16.657619,3.274912,-52.051110,-192.009013,0.341829
0.050000,18.369370,5.068296,16.719572,1.239053,-40.717180,226.678596,0.679617
0.050000,18.395898,5.101721,16.762244,0.853450,-7.712043,660.102732,1.036722
0.050000,18.445594,5.228100,16.898043,2.715975,37.250491,899.250689,1.300561
0.050000,18.486359,5.457741,17.131274,4.664628,38.973058,34.451346,1.467068
0.050000,18.500000,5.753448,17.427295,5.920423,25.115902,-277.143120,1.570796
0.050000,18.500000,6.153448,17.827295,8.000000,41.591541,329.512773,1.570796
0.050000,18.500000,6.553448,18.227295,8.000000,-0.000000,-831.830819,1.570796
0.050000,18.500000,6.953448,18.627295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,7.353448,19.027295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,7.753448,19.427295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,8.153448,19.827295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,8.553448,20.227295,8.000000,0.000000,-0.000000,1.570796
0.050000,18.500000,8.953448,20.627295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,9.353448,21.027295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,9.753448,21.427295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,10.153448,21.827295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,10.553448,22.227295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,10.953448,22.627295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,11.353448,23.027295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,11.753448,23.427295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,12.153448,23.827295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,12.553448,24.227295,8.000000,0.000000,-0.000000,1.570796
0.050000,18.500000,12.953448,24.627295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,13.353448,25.027295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,13.753448,25.427295,8.000000,0.000000,-0.000000,1.570796
0.050000,18.500000,14.153448,25.827295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,14.553448,26.227295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,14.953448,26.627295,8.000000,0.000000,-0.000000,1.570796
0.050000,18.500000,15.353448,27.027295,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,15.753448,27.427295,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,16.151730,27.825578,7.965652,-0.686968,-13.739366,1.570796
0.050000,18.500000,16.543453,28.217301,7.834455,-2.623937,-38.739366,1.570796
0.050000,18.500000,16.924083,28.597931,7.612606,-4.436968,-36.260634,1.570796
0.050000,18.500000,17.292214,28.966061,7.362606,-5.000000,-11.260634,1.570796
0.050000,18.502587,17.677336,29.351192,7.702621,6.800288,236.005761,1.541205
0.050000,18.531919,18.101067,29.775938,8.494910,15.845778,180.909794,1.459472
0.050000,18.600664,18.526743,30.207128,8.623811,2.578034,-265.354876,1.358729
0.050000,18.719137,18.951581,30.648177,8.820963,3.943029,27.299899,1.235532
0.050000,18.897810,19.366242,31.099693,9.030337,4.187480,4.889015,1.089242
0.050000,19.141120,19.752276,31.556007,9.126267,1.918597,-45.377648,0.925548
0.050000,19.439447,20.086330,32.003881,8.957494,-3.375453,-105.881008,0.757777
0.050000,19.769023,20.352425,32.427469,8.471754,-9.714795,-126.786832,0.601890
0.050000,20.103473,20.550290,32.816065,7.771925,-13.996577,-85.635655,0.468636
0.050000,20.424649,20.691268,33.166821,7.015105,-15.136417,-22.796787,0.360841
0.050000,20.724137,20.789679,33.482063,6.304848,-14.205136,18.625613,0.276134
0.050000,20.999687,20.857816,33.765912,5.676988,-12.557184,32.959034,0.210364
0.050000,21.251844,20.904809,34.022411,5.129963,-10.940518,32.333321,0.159468
0.050000,21.482082,20.937080,34.254900,4.649784,-9.603581,26.738756,0.120094
0.050000,21.692005,20.959089,34.465973,4.221461,-8.566458,20.742457,0.089644
0.050000,21.883056,20.973939,34.657601,3.832557,-7.778072,15.767713,0.066142
0.050000,22.056457,20.983810,34.831282,3.473630,-7.178549,11.990465,0.048088
0.050000,22.213212,20.990242,34.988169,3.137741,-6.717776,9.215453,0.034330
0.050000,22.354145,20.994330,35.129161,2.819835,-6.358123,7.193068,0.023968
0.050000,22.479930,20.996846,35.254971,2.516205,-6.072586,5.710737,0.016288
0.050000,22.591125,20.998337,35.366176,2.224094,-5.842220,4.607328,0.010713
0.050000,22.688191,20.999179,35.463246,1.941398,-5.653927,3.765850,0.006774
0.050000,22.771513,20.999627,35.546569,1.666458,-5.498794,3.102670,0.004081
0.050000,22.841408,20.999848,35.616464,1.397915,-5.370876,2.558359,0.002316
0.050000,22.898138,20.999946,35.673194,1.134598,-5.266329,2.090939,0.001216
0.050000,22.941911,20.999985,35.716967,0.875460,-5.182771,1.671151,0.000573
0.050000,22.972887,20.999997,35.747943,0.619519,-5.118814,1.279138,0.000228
0.050000,22.991178,21.000000,35.766235,0.365833,-5.073713,0.902030,0.000066
0.050000,22.998582,21.000000,35.773639,0.148080,-4.355071,14.372829,0.000010
0.050000,23.000000,21.000000,35.775057,0.028355,-2.394492,39.211587,6.283185
0.050000,23.000000,21.000000,35.775057,0.000000,-0.567101,36.547822,6.283185
