dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.662962,3.000000,0.003125,0.125000,2.500000,50.000000,0.000000
0.050000,1.675462,3.000000,0.015625,0.250000,2.500000,0.000000,0.000000
0.050000,1.700462,3.000000,0.040625,0.500000,5.000000,50.000000,0.000000
0.050000,1.737962,3.000000,0.078125,0.750000,5.000000,0.000000,0.000000
0.050000,1.787962,3.000000,0.128125,1.000000,5.000000,0.000000,0.000000
0.050000,1.850462,3.000000,0.190625,1.250000,5.000000,-0.000000,0.000000
0.050000,1.925462,3.000000,0.265625,1.500000,5.000000,0.000000,0.000000
0.050000,2.012962,3.000000,0.353125,1.750000,5.000000,0.000000,0.000000
0.050000,2.112962,3.000000,0.453125,2.000000,5.000000,-0.000000,0.000000
0.050000,2.225462,3.000000,0.565625,2.250000,5.000000,-0.000000,0.000000
0.050000,2.350462,3.000000,0.690625,2.500000,5.000000,-0.000000,0.000000
0.050000,2.487962,3.000000,0.828125,2.750000,5.000000,0.000000,0.000000
0.050000,2.637962,3.000000,0.978125,3.000000,5.000000,-0.000000,0.000000
0.050000,2.800462,3.000000,1.140625,3.250000,5.000000,0.000000,0.000000
0.050000,2.975462,3.000000,1.315625,3.500000,5.000000,-0.000000,0.000000
0.050000,3.162962,3.000000,1.503125,3.750000,5.000000,-0.000000,0.000000
0.050000,3.362962,3.000000,1.703125,4.000000,5.000000,-0.000000,0.000000
0.050000,3.575462,3.000000,1.915625,4.250000,5.000000,0.000000,0.000000
0.050000,3.800462,3.000000,2.140625,4.500000,5.000000,-0.000000,0.000000
0.050000,4.037962,3.000000,2.378125,4.750000,5.000000,-0.000000,0.000000
0.050000,4.287962,3.000000,2.628125,5.000000,5.000000,0.000000,0.000000
0.050000,4.550462,3.000000,2.890625,5.250000,5.000000,0.000000,0.000000
0.050000,4.825462,3.000000,3.165625,5.500000,5.000000,-0.000000,0.000000
0.050000,5.112962,3.000000,3.453125,5.750000,5.000000,0.000000,0.000000
0.050000,5.412962,3.000000,3.753125,6.000000,5.000000,-0.000000,0.000000
0.050000,5.725462,3.000000,4.065625,6.250000,5.000000,0.000000,0.000000
0.050000,6.050462,3.000000,4.390625,6.500000,5.000000,0.000000,0.000000
0.050000,6.387962,3.000000,4.728125,6.750000,5.000000,0.000000,0.000000
0.050000,6.737962,3.000000,5.078125,7.000000,5.000000,-0.000000,0.000000
0.050000,7.100462,3.000000,5.440625,7.250000,5.000000,0.000000,0.000000
0.050000,7.475462,3.000000,5.815625,7.500000,5.000000,-0.000000,0.000000
0.050000,7.862962,3.000000,6.203125,7.750000,5.000000,0.000000,0.000000
0.050000,8.259837,3.000000,6.600000,7.937500,3.750000,-25.000000,0.000000
0.050000,8.659837,3.000000,7.000000,8.000000,1.250000,-50.000000,0.000000
0.050000,9.059837,3.000000,7.400000,8.000000,-0.000000,-25.000000,0.000000
0.050000,9.459837,3.000000,7.800000,8.000000,0.000000,0.000000,0.000000
0.050000,9.859837,3.000000,8.200000,8.000000,0.000000,0.000000,0.000000
0.050000,10.259837,3.000000,8.600000,8.000000,0.000000,0.000000,0.000000
0.050000,10.659837,3.000000,9.000000,8.000000,0.000000,-0.000000,0.000000
0.050000,11.059837,3.000000,9.400000,8.000000,0.000000,0.000000,0.000000
0.050000,11.459837,3.000000,9.800000,8.000000,-0.000000,-0.000000,0.000000
0.050000,11.859837,3.000000,10.200000,8.000000,-0.000000,0.000000,0.000000
0.050000,12.259837,3.000000,10.600000,8.000000,0.000000,0.000000,0.000000
0.050000,12.659837,3.000000,11.000000,8.000000,0.000000,-0.000000,0.000000
0.050000,13.059837,3.000000,11.400000,8.000000,0.000000,0.000000,0.000000
0.050000,13.459837,3.000000,11.800000,8.000000,-0.000000,-0.000000,0.000000
0.050000,13.859837,3.000000,12.200000,8.000000,0.000000,0.000000,0.000000
0.050000,14.259837,3.000000,12.600000,8.000000,-0.000000,-0.000000,0.000000
0.050000,14.659837,3.000000,13.000000,8.000000,0.000000,0.000000,0.000000
0.050000,15.059837,3.000000,13.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,15.459837,3.000000,13.800000,8.000000,0.000000,0.000000,0.000000
