dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.996905,6.000000,0.003125,0.125000,2.500000,50.000000,3.141570
0.050000,22.984305,6.000001,0.015726,0.252017,2.540344,0.806880,3.141469
0.050000,22.959057,6.000007,0.040973,0.504951,5.058669,50.366502,3.141222
0.050000,22.921071,6.000030,0.078959,0.759721,5.095405,0.734722,3.140736
0.050000,22.870208,6.000094,0.129822,1.017261,5.150794,1.107780,3.139873
0.050000,22.806282,6.000248,0.193749,1.278529,5.225376,1.491638,3.138446
0.050000,22.729055,6.000573,0.270976,1.544540,5.320207,1.896622,3.136219
0.050000,22.638238,6.001206,0.361796,1.816398,5.437165,2.339148,3.132899
0.050000,22.533476,6.002358,0.466564,2.095366,5.579357,2.843851,3.128131
0.050000,22.414345,6.004345,0.585712,2.382950,5.751679,3.446439,3.121483
0.050000,22.280334,6.007628,0.719763,2.681028,5.961564,4.197699,3.112431
0.050000,22.130824,6.012869,0.869364,2.992029,6.220027,5.169270,3.100329
0.050000,21.965064,6.021000,1.035324,3.319185,6.543112,6.461692,3.084368
0.050000,21.782136,6.033341,1.218668,3.666877,6.953848,8.214723,3.063521
0.050000,21.580921,6.051751,1.420723,4.041113,7.484718,10.617404,3.036459
0.050000,21.360073,6.078868,1.643229,4.450118,8.180088,13.907395,3.001442
0.050000,21.118045,6.118470,1.888476,4.904937,9.096375,18.325738,2.956174
0.050000,20.853243,6.175997,2.159455,5.419582,10.292919,23.930879,2.897656
0.050000,20.564543,6.259256,2.459921,6.009313,11.794605,30.033718,2.822119
0.050000,20.252594,6.379101,2.794099,6.683565,13.485047,33.808846,2.725310
0.050000,19.922496,6.549271,3.165478,7.427580,14.880293,27.904913,2.603702
0.050000,19.587676,6.783411,3.574044,8.171320,14.874813,-0.109606,2.457270
0.050000,19.271563,7.087622,4.012760,8.774322,12.060026,-56.295732,2.293060
0.050000,19.000896,7.452817,4.467323,9.091254,6.338656,-114.427395,2.125463
0.050000,18.792577,7.857319,4.922316,9.099872,0.172346,-123.326200,1.970011
0.050000,18.647781,8.279298,5.368446,8.922596,-3.545518,-74.357291,1.836047
0.050000,18.557752,8.705322,5.803879,8.708654,-4.278838,-14.666388,1.725392
0.050000,18.511621,9.130092,6.231147,8.545358,-3.265920,20.258353,1.635480
0.050000,18.500000,9.544448,6.645666,8.290389,-5.099377,-36.669140,1.570796
0.050000,18.500000,9.906948,7.008166,7.250000,-20.807782,-314.168101,1.570796
0.050000,18.500000,10.281948,7.383166,7.500000,5.000000,516.155642,1.570796
0.050000,18.500000,10.669448,7.770666,7.750000,5.000000,-0.000000,1.570796
0.050000,18.500000,11.066323,8.167541,7.937500,3.750000,-25.000000,1.570796
0.050000,18.500000,11.466323,8.567541,8.000000,1.250000,-50.000000,1.570796
0.050000,18.500000,11.866323,8.967541,8.000000,0.000000,-25.000000,1.570796
0.050000,18.500000,12.266323,9.367541,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,12.666323,9.767541,8.000000,-0.000000,-0.000000,1.570796
0.050000,18.500000,13.066323,10.167541,8.000000,0.000000,0.000000,1.570796
0.050000,18.500000,13.466323,10.567541,8.000000,0.000000,-0.000000,1.570796
0.050000,18.500000,13.863901,10.965119,7.951554,-0.968928,-19.378560,1.570796
0.050000,18.500000,14.253509,11.354727,7.792161,-3.187856,-44.378560,1.570796
0.050000,18.500000,14.631320,11.732538,7.556214,-4.718928,-30.621440,1.570796
0.050000,18.500000,14.996631,12.097848,7.306214,-5.000000,-5.621440,1.570796
0.050000,18.500000,15.349441,12.450659,7.056214,-5.000000,0.000000,1.570796
0.050000,18.500000,15.689752,12.790970,6.806214,-5.000000,-0.000000,1.570796
0.050000,18.500000,16.017563,13.118781,6.556214,-5.000000,0.000000,1.570796
0.050000,18.500000,16.332873,13.434091,6.306214,-5.000000,0.000000,1.570796
0.050000,18.500000,16.635684,13.736902,6.056214,-5.000000,0.000000,1.570796
0.050000,18.500000,16.925995,14.027213,5.806214,-5.000000,0.000000,1.570796
0.050000,18.500000,17.203806,14.305023,5.556214,-5.000000,-0.000000,1.570796
0.050000,18.500000,17.469116,14.570334,5.306214,-5.000000,0.000000,1.570796
0.050000,18.495804,17.669521,14.770782,4.008965,-25.944983,-418.899651,1.623101
0.050000,18.481381,17.835501,14.937389,3.332126,-13.536786,248.163922,1.696768
0.050000,18.458609,17.969398,15.073208,2.716382,-12.314888,24.437978,1.788712
0.050000,18.431424,18.067844,15.175338,2.042609,-13.475460,-23.211450,1.901839
0.050000,18.405609,18.130423,15.243033,1.353896,-13.774252,-5.975846,2.036905
0.050000,18.386625,18.162638,15.280426,0.747851,-12.120903,33.066984,2.189787
0.050000,18.375451,18.176200,15.297997,0.351434,-7.928345,83.851163,2.350008
0.050000,18.366680,18.183785,15.309593,0.231913,-2.390410,110.758706,2.503711
0.050000,18.352597,18.192658,15.326239,0.332916,2.020059,88.209374,2.639864
0.050000,18.328726,18.203873,15.352613,0.527485,3.891386,37.426537,2.753786
0.050000,18.295168,18.215678,15.388187,0.711473,3.679764,-4.232443,2.846011
0.050000,18.254724,18.226297,15.430002,0.836301,2.496545,-23.664368,2.919497
0.050000,18.210904,18.234804,15.474640,0.892758,1.129139,-27.348131,2.977663
0.050000,18.166898,18.241015,15.519081,0.888834,-0.078466,-24.152094,3.023529
0.050000,18.125260,18.245176,15.560927,0.836923,-1.038234,-19.195356,3.059491
0.050000,18.087911,18.247714,15.598363,0.748704,-1.764374,-14.522804,3.087365
0.050000,18.056252,18.249092,15.630051,0.633776,-2.298563,-10.683777,3.108487
0.050000,18.031276,18.249726,15.655036,0.499683,-2.681864,-7.666022,3.123813
0.050000,18.013660,18.249948,15.672653,0.352345,-2.946750,-5.297728,3.134006
0.050000,18.003833,18.249996,15.682479,0.196531,-3.116275,-3.390486,3.139490
0.050000,18.000454,18.250000,15.685858,0.067579,-2.579046,10.744577,3.141344
0.050000,18.000000,18.250000,15.686313,0.009090,-1.169783,28.185258,3.141593
0.050000,18.000000,18.250000,15.686313,0.000000,-0.181800,19.759660,3.141593
