dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.996950,8.000000,0.003125,0.125000,2.500000,50.000000,3.141570
0.050000,22.984551,8.000001,0.015524,0.247983,2.459656,-0.806880,3.141469
0.050000,22.959799,8.000007,0.040277,0.495049,4.941331,49.633497,3.141222
0.050000,22.922785,8.000029,0.077291,0.740279,4.904595,-0.734726,3.140736
0.050000,22.873648,8.000091,0.126428,0.982739,4.849205,-1.107794,3.139873
0.050000,22.812574,8.000238,0.187501,1.221470,4.774621,-1.491679,3.138446
0.050000,22.739802,8.000545,0.260274,1.455460,4.679785,-1.896725,3.136219
0.050000,22.655624,8.001131,0.344454,1.683600,4.562816,-2.339379,3.132899
0.050000,22.560398,8.002177,0.439686,1.904630,4.420599,-2.844330,3.128131
0.050000,22.454561,8.003941,0.545538,2.117042,4.248231,-3.447364,3.121483
0.050000,22.338648,8.006778,0.661485,2.318955,4.038260,-4.199414,3.112431
0.050000,22.213328,8.011166,0.786882,2.507937,3.779643,-5.172353,3.100329
0.050000,22.079451,8.017727,0.920920,2.680751,3.456286,-6.467141,3.084368
0.050000,21.938121,8.027249,1.062570,2.833005,3.045072,-8.224276,3.063521
0.050000,21.790801,8.040708,1.210504,2.958673,2.513365,-10.634145,3.036459
0.050000,21.639459,8.059258,1.362979,3.049499,1.816522,-13.936850,3.001442
0.050000,21.486761,8.084188,1.517698,3.094381,0.897632,-18.377802,2.956174
0.050000,21.336292,8.116787,1.671658,3.079206,-0.303505,-24.022743,2.897656
0.050000,21.192677,8.158058,1.821085,2.988549,-1.813131,-30.192510,2.822119
0.050000,21.061321,8.208298,1.961722,2.812727,-3.516444,-34.066261,2.725310
0.050000,20.947148,8.266854,2.090035,2.566257,-4.929400,-28.259131,2.603702
0.050000,20.851973,8.333106,2.205999,2.319284,-4.939460,-0.201192,2.457270
0.050000,20.772186,8.409791,2.316663,2.213284,-2.119991,56.389382,2.293060
0.050000,20.701048,8.506137,2.436426,2.395253,3.639380,115.187420,2.125463
0.050000,20.635310,8.634708,2.580828,2.888037,9.855674,124.325881,1.970011
0.050000,20.577835,8.803599,2.759231,3.568065,13.600559,74.897696,1.836047
0.050000,20.533900,9.013282,2.973467,4.284724,14.333188,14.652587,1.725392
0.050000,20.507438,9.259369,3.220972,4.950103,13.307578,-20.512209,1.635480
0.050000,20.500000,9.544448,3.506149,5.703534,15.068619,35.220831,1.570796
0.050000,20.500000,9.906948,3.868649,7.250000,30.929316,317.213922,1.570796
0.050000,20.500000,10.281948,4.243649,7.500000,5.000000,-518.586311,1.570796
0.050000,20.500000,10.669448,4.631149,7.750000,5.000000,-0.000000,1.570796
0.050000,20.500000,11.066323,5.028024,7.937500,3.750000,-25.000000,1.570796
0.050000,20.500000,11.466323,5.428024,8.000000,1.250000,-50.000000,1.570796
0.050000,20.500000,11.866323,5.828024,8.000000,0.000000,-25.000000,1.570796
