dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.996696,6.000001,0.003007,0.120274,2.405487,48.109736,3.141245
0.050000,22.983258,6.000015,0.016445,0.268754,2.969594,11.282147,3.139835
0.050000,22.956402,6.000100,0.043301,0.537138,5.367679,47.961692,3.137033
0.050000,22.916164,6.000367,0.083540,0.804777,5.352773,-0.298109,3.132876
0.050000,22.862603,6.000980,0.137105,1.071285,5.330173,-0.452000,3.127422
0.050000,22.795800,6.002151,0.203918,1.336266,5.299618,-0.611099,3.120745
0.050000,22.715859,6.004131,0.283883,1.599307,5.260809,-0.776188,3.112944
0.050000,22.622911,6.007206,0.376882,1.859979,5.213443,-0.947318,3.104137
0.050000,22.517114,6.011687,0.482774,2.117842,5.157256,-1.123735,3.094464
0.050000,22.398654,6.017895,0.601396,2.372445,5.092061,-1.303906,3.084088
0.050000,22.267748,6.026153,0.732563,2.623334,5.017779,-1.485641,3.073195
0.050000,22.124638,6.036771,0.876066,2.870057,4.934462,-1.666333,3.061994
0.050000,21.969595,6.050031,1.031675,3.112172,4.842297,-1.843303,3.050713
0.050000,21.802912,6.066170,1.199137,3.349251,4.741586,-2.014233,3.039607
0.050000,21.624900,6.085366,1.378181,3.580886,4.632704,-2.177622,3.028945
0.050000,21.435883,6.107723,1.568516,3.806688,4.516044,-2.333218,3.019022
0.050000,21.236194,6.133251,1.769830,4.026285,4.391927,-2.482324,3.010146
0.050000,21.026167,6.161854,1.981796,4.239311,4.260531,-2.627920,3.002646
0.050000,20.806135,6.193314,2.204066,4.445402,4.121806,-2.774500,2.996870
0.050000,20.576423,6.227273,2.436274,4.644173,3.975428,-2.927565,2.993182
0.050000,20.340587,6.262733,2.674761,4.769734,2.511230,-29.283967,2.991968
0.050000,20.107906,6.297691,2.910054,4.705852,-1.277643,-75.777453,2.993411
0.050000,19.886738,6.330314,3.133615,4.471228,-4.692483,-68.296802,2.997295
0.050000,19.679354,6.359860,3.343093,4.189560,-5.633359,-18.817526,3.003234
0.050000,19.485368,6.386151,3.538852,3.915176,-5.487689,2.913406,3.010866
0.050000,19.304439,6.409142,3.721237,3.647695,-5.349608,2.761624,3.019844
0.050000,19.136256,6.428890,3.890574,3.386754,-5.218828,2.615604,3.029841
0.050000,18.980544,6.445539,4.047174,3.131987,-5.095330,2.469956,3.040549
0.050000,18.837051,6.459296,4.191325,2.883022,-4.979312,2.320349,3.051678
0.050000,18.705547,6.470416,4.323298,2.639466,-4.871113,2.163990,3.062958
0.050000,18.585823,6.479186,4.443344,2.400910,-4.771125,1.999753,3.074138
0.050000,18.477685,6.485909,4.551690,2.166924,-4.679723,1.828043,3.084990
0.050000,18.380960,6.490894,4.648543,1.937064,-4.597199,1.650474,3.095307
0.050000,18.295490,6.494445,4.734087,1.710877,-4.523728,1.469430,3.104907
0.050000,18.221134,6.496852,4.808482,1.487910,-4.459347,1.287611,3.113627
0.050000,18.157767,6.498381,4.871868,1.267712,-4.403967,1.107606,3.121330
0.050000,18.105282,6.499273,4.924360,1.049842,-4.357389,0.931557,3.127900
0.050000,18.063591,6.499733,4.966054,0.833875,-4.319343,0.760930,3.133240
0.050000,18.032621,6.499929,4.997024,0.619399,-4.289523,0.596401,3.137276
0.050000,18.012321,6.499990,5.017325,0.406017,-4.267630,0.437846,3.139955
0.050000,18.002416,6.500000,5.027229,0.198094,-4.158479,2.183035,3.141271
0.050000,18.000000,6.500000,5.029645,0.048320,-2.995467,23.260241,3.141593
0.050000,18.000000,6.500000,5.029645,0.000000,-0.966404,40.581254,3.141593
