dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.997391,8.000000,0.003007,0.120274,2.405487,48.109736,3.141245
0.050000,22.986774,8.000012,0.013624,0.212343,1.841379,-11.282163,3.139835
0.050000,22.965521,8.000079,0.034877,0.425056,4.254263,48.257686,3.137033
0.050000,22.933596,8.000291,0.066803,0.638514,4.269159,0.297929,3.132876
0.050000,22.890944,8.000779,0.109458,0.853102,4.291747,0.451751,3.127422
0.050000,22.837491,8.001716,0.162918,1.069216,4.322287,0.610805,3.120745
0.050000,22.773148,8.003310,0.227282,1.287270,4.361081,0.775880,3.112944
0.050000,22.697804,8.005804,0.302667,1.507692,4.408433,0.947032,3.104137
0.050000,22.611336,8.009466,0.389213,1.730922,4.464608,1.123512,3.094464
0.050000,22.513599,8.014589,0.487083,1.957412,4.529798,1.303787,3.084088
0.050000,22.404436,8.021477,0.596464,2.187616,4.604081,1.485663,3.073195
0.050000,22.283668,8.030439,0.717563,2.421987,4.687407,1.666525,3.061994
0.050000,22.151104,8.041778,0.850612,2.660966,4.779591,1.843680,3.050713
0.050000,22.006531,8.055778,0.995861,2.904983,4.880331,2.014793,3.039607
0.050000,21.849718,8.072690,1.153583,3.154445,4.989248,2.178337,3.028945
0.050000,21.680412,8.092718,1.324070,3.409742,5.105949,2.334032,3.019022
0.050000,21.498331,8.115998,1.507633,3.671248,5.230107,2.483147,3.010146
0.050000,21.303167,8.142579,1.704599,3.939325,5.361538,2.628622,3.002646
0.050000,21.094572,8.172406,1.915316,4.214339,5.500283,2.774910,2.996870
0.050000,20.872156,8.205288,2.140149,4.496672,5.646656,2.927457,2.993182
0.050000,20.638721,8.240387,2.376208,4.721181,4.490178,-23.129556,2.991968
0.050000,20.403187,8.275773,2.614386,4.763548,0.847350,-72.856568,2.993411
0.050000,20.174333,8.309528,2.845715,4.626587,-2.739219,-71.731385,2.997295
0.050000,19.955188,8.340747,3.067073,4.427151,-3.988727,-24.990149,3.003234
0.050000,19.746078,8.369086,3.278094,4.220431,-4.134400,-2.913458,3.010866
0.050000,19.547336,8.394337,3.478435,4.006808,-4.272459,-2.761181,3.019844
0.050000,19.359295,8.416414,3.667767,3.786648,-4.403203,-2.614885,3.029841
0.050000,19.182288,8.435338,3.845783,3.560315,-4.526659,-2.469130,3.040549
0.050000,19.016638,8.451217,4.012192,3.328183,-4.642636,-2.319541,3.051678
0.050000,18.862655,8.464236,4.166724,3.090643,-4.750801,-2.163287,3.062958
0.050000,18.720630,8.474638,4.309129,2.848105,-4.850761,-1.999208,3.074138
0.050000,18.590831,8.482706,4.439179,2.600998,-4.942145,-1.827682,3.084990
0.050000,18.473498,8.488752,4.556667,2.349765,-5.024660,-1.650298,3.095307
0.050000,18.368846,8.493099,4.661410,2.094858,-5.098131,-1.469422,3.104907
0.050000,18.277057,8.496070,4.753247,1.836732,-5.162518,-1.287740,3.113627
0.050000,18.198288,8.497971,4.832039,1.575837,-5.217910,-1.107835,3.121330
0.050000,18.132667,8.499086,4.897669,1.312611,-5.264502,-0.931846,3.127900
0.050000,18.080296,8.499663,4.950043,1.047483,-5.302564,-0.761238,3.133240
0.050000,18.041254,8.499911,4.989087,0.780863,-5.332399,-0.596692,3.137276
0.050000,18.015596,8.499987,5.014744,0.513148,-5.354303,-0.438090,3.139955
0.050000,18.003060,8.500000,5.027281,0.250732,-5.248320,2.119674,3.141271
0.050000,18.000000,8.500000,5.030341,0.061197,-3.790705,29.152293,3.141593
0.050000,18.000000,8.500000,5.030341,0.000000,-1.223939,51.335324,3.141593
