dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,23.993860,5.500000,0.006150,0.246003,4.920056,98.401127,3.141593
0.050000,23.975410,5.500000,0.024600,0.369004,2.460028,-49.200563,3.141593
0.050000,23.944659,5.500000,0.055351,0.615007,4.920056,49.200563,3.141593
0.050000,23.901609,5.500000,0.098401,0.861010,4.920056,0.000000,3.141593
0.050000,23.846258,5.500000,0.153752,1.107013,4.920056,-0.000000,3.141593
0.050000,23.778607,5.500000,0.221403,1.353015,4.920056,-0.000000,3.141593
0.050000,23.698657,5.500000,0.301353,1.599018,4.920056,0.000000,3.141593
0.050000,23.606405,5.500000,0.393605,1.845021,4.920056,-0.000000,3.141593
0.050000,23.501854,5.500000,0.498156,2.091024,4.920056,0.000000,3.141593
0.050000,23.385003,5.500000,0.615007,2.337027,4.920056,0.000000,3.141593
0.050000,23.255851,5.500000,0.744159,2.583030,4.920056,-0.000000,3.141593
0.050000,23.114400,5.500000,0.885610,2.829032,4.920056,-0.000000,3.141593
0.050000,22.936346,5.500775,1.063666,3.561109,14.641541,194.429697,3.117253
0.050000,22.669651,5.520887,1.331118,5.349043,35.758672,422.342607,3.015738
0.050000,22.393517,5.570431,1.611661,5.610865,5.236435,-610.444721,2.913424
0.050000,22.118041,5.648751,1.898054,5.727867,2.340050,-57.927700,2.817573
0.050000,21.851600,5.751036,2.183454,5.707994,-0.397467,-54.750351,2.735045
0.050000,21.599055,5.869955,2.462597,5.582863,-2.502609,-42.102847,2.671106
0.050000,21.361934,5.997394,2.731794,5.383943,-3.978402,-29.515857,2.629442
0.050000,21.139911,6.125252,2.988000,5.124120,-5.196473,-24.361406,2.613086
0.050000,20.941255,6.240389,3.217611,4.592206,-10.638282,-108.836193,2.624435
0.050000,20.772395,6.332893,3.410149,3.850765,-14.828806,-83.810484,2.661655
0.050000,20.630862,6.401743,3.567540,3.147813,-14.059041,15.395309,2.721710
0.050000,20.514256,6.448745,3.693262,2.514452,-12.667234,27.836145,2.801124
0.050000,20.419574,6.477657,3.792259,1.979944,-10.690153,39.541610,2.894959
0.050000,20.342219,6.493171,3.871155,1.577910,-8.040675,52.989570,2.996599
0.050000,20.276409,6.499433,3.937262,1.322140,-5.115401,58.505465,3.098732
0.050000,20.163320,6.500000,4.050353,2.261815,18.793506,478.178157,3.141593
0.050000,20.019652,6.500000,4.194021,2.873368,12.231058,-131.248974,3.141593
0.050000,19.888283,6.500000,4.325389,2.627366,-4.920056,-343.022280,3.141593
0.050000,19.769215,6.500000,4.444457,2.381363,-4.920056,0.000000,3.141593
0.050000,19.662447,6.500000,4.551225,2.135360,-4.920056,0.000000,3.141593
0.050000,19.567979,6.500000,4.645693,1.889357,-4.920056,-0.000000,3.141593
0.050000,19.485812,6.500000,4.727861,1.643354,-4.920056,-0.000000,3.141593
0.050000,19.415944,6.500000,4.797729,1.397351,-4.920056,0.000000,3.141593
0.050000,19.358377,6.500000,4.855296,1.151349,-4.920056,0.000000,3.141593
0.050000,19.313109,6.500000,4.900563,0.905346,-4.920056,-0.000000,3.141593
0.050000,19.280142,6.500000,4.933530,0.659343,-4.920056,0.000000,3.141593
0.050000,19.259475,6.500000,4.954198,0.413340,-4.920056,0.000000,3.141593
0.050000,19.251108,6.500000,4.962564,0.167337,-4.920056,0.000000,3.141593
0.050000,19.250000,6.500000,4.963673,0.022168,-2.903388,40.333376,3.141593
0.050000,19.250000,6.500000,4.963673,0.000000,-0.443359,49.200563,3.141593
