dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.666107,4.500000,0.006250,0.250000,5.000000,100.000000,0.000000
0.050000,1.684857,4.500000,0.025000,0.375000,2.500000,-50.000000,0.000000
0.050000,1.716107,4.500000,0.056250,0.625000,5.000000,50.000000,0.000000
0.050000,1.759857,4.500000,0.100000,0.875000,5.000000,0.000000,0.000000
0.050000,1.816107,4.500000,0.156250,1.125000,5.000000,-0.000000,0.000000
0.050000,1.884857,4.500000,0.225000,1.375000,5.000000,-0.000000,0.000000
0.050000,1.966107,4.500000,0.306250,1.625000,5.000000,0.000000,0.000000
0.050000,2.059857,4.500000,0.400000,1.875000,5.000000,0.000000,0.000000
0.050000,2.166107,4.500000,0.506250,2.125000,5.000000,-0.000000,0.000000
0.050000,2.284857,4.500000,0.625000,2.375000,5.000000,-0.000000,0.000000
0.050000,2.416107,4.500000,0.756250,2.625000,5.000000,0.000000,0.000000
0.050000,2.559857,4.500000,0.900000,2.875000,5.000000,0.000000,0.000000
0.050000,2.716107,4.500000,1.056250,3.125000,5.000000,0.000000,0.000000
0.050000,2.884857,4.500000,1.225000,3.375000,5.000000,-0.000000,0.000000
0.050000,3.066107,4.500000,1.406250,3.625000,5.000000,-0.000000,0.000000
0.050000,3.259857,4.500000,1.600000,3.875000,5.000000,0.000000,0.000000
0.050000,3.466107,4.500000,1.806250,4.125000,5.000000,-0.000000,0.000000
0.050000,3.684857,4.500000,2.025000,4.375000,5.000000,-0.000000,0.000000
0.050000,3.916107,4.500000,2.256250,4.625000,5.000000,0.000000,0.000000
0.050000,4.159857,4.500000,2.500000,4.875000,5.000000,-0.000000,0.000000
0.050000,4.416107,4.500000,2.756250,5.125000,5.000000,0.000000,0.000000
0.050000,4.684857,4.500000,3.025000,5.375000,5.000000,-0.000000,0.000000
0.050000,4.966107,4.500000,3.306250,5.625000,5.000000,0.000000,0.000000
0.050000,5.259857,4.500000,3.600000,5.875000,5.000000,0.000000,0.000000
0.050000,5.566107,4.500000,3.906250,6.125000,5.000000,-0.000000,0.000000
0.050000,5.884857,4.500000,4.225000,6.375000,5.000000,0.000000,0.000000
0.050000,6.216107,4.500000,4.556250,6.625000,5.000000,-0.000000,0.000000
0.050000,6.559857,4.500000,4.900000,6.875000,5.000000,0.000000,0.000000
0.050000,6.916107,4.500000,5.256250,7.125000,5.000000,0.000000,0.000000
0.050000,7.284857,4.500000,5.625000,7.375000,5.000000,0.000000,0.000000
0.050000,7.666107,4.500000,6.006250,7.625000,5.000000,-0.000000,0.000000
0.050000,8.059857,4.500000,6.400000,7.875000,5.000000,0.000000,0.000000
0.050000,8.459857,4.500000,6.800000,8.000000,2.500000,-50.000000,0.000000
0.050000,8.859857,4.500000,7.200000,8.000000,0.000000,-50.000000,0.000000
0.050000,9.259857,4.500000,7.600000,8.000000,0.000000,0.000000,0.000000
0.050000,9.659857,4.500000,8.000000,8.000000,0.000000,-0.000000,0.000000
0.050000,10.059857,4.500000,8.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,10.459857,4.500000,8.800000,8.000000,-0.000000,0.000000,0.000000
0.050000,10.859857,4.500000,9.200000,8.000000,0.000000,0.000000,0.000000
0.050000,11.259857,4.500000,9.600000,8.000000,-0.000000,-0.000000,0.000000
0.050000,11.659857,4.500000,10.000000,8.000000,0.000000,0.000000,0.000000
0.050000,12.059857,4.500000,10.400000,8.000000,-0.000000,-0.000000,0.000000
0.050000,12.459857,4.500000,10.800000,8.000000,0.000000,0.000000,0.000000
