dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.662992,3.000000,0.003125,0.125000,2.500000,50.000000,0.000000
0.050000,1.675492,3.000000,0.015625,0.250000,2.500000,-0.000000,0.000000
0.050000,1.700492,3.000000,0.040625,0.500000,5.000000,50.000000,0.000000
0.050000,1.737992,3.000000,0.078125,0.750000,5.000000,0.000000,0.000000
0.050000,1.787992,3.000000,0.128125,1.000000,5.000000,0.000000,0.000000
0.050000,1.850492,3.000000,0.190625,1.250000,5.000000,-0.000000,0.000000
0.050000,1.925492,3.000000,0.265625,1.500000,5.000000,0.000000,0.000000
0.050000,2.012992,3.000000,0.353125,1.750000,5.000000,-0.000000,0.000000
0.050000,2.112992,3.000000,0.453125,2.000000,5.000000,-0.000000,0.000000
0.050000,2.225492,3.000000,0.565625,2.250000,5.000000,-0.000000,0.000000
0.050000,2.350492,3.000000,0.690625,2.500000,5.000000,0.000000,0.000000
0.050000,2.487992,3.000000,0.828125,2.750000,5.000000,-0.000000,0.000000
0.050000,2.637992,3.000000,0.978125,3.000000,5.000000,0.000000,0.000000
0.050000,2.800492,3.000000,1.140625,3.250000,5.000000,-0.000000,0.000000
0.050000,2.975492,3.000000,1.315625,3.500000,5.000000,-0.000000,0.000000
0.050000,3.162992,3.000000,1.503125,3.750000,5.000000,0.000000,0.000000
0.050000,3.362992,3.000000,1.703125,4.000000,5.000000,-0.000000,0.000000
0.050000,3.575492,3.000000,1.915625,4.250000,5.000000,-0.000000,0.000000
0.050000,3.800492,3.000000,2.140625,4.500000,5.000000,0.000000,0.000000
0.050000,4.037992,3.000000,2.378125,4.750000,5.000000,-0.000000,0.000000
0.050000,4.287992,3.000000,2.628125,5.000000,5.000000,-0.000000,0.000000
0.050000,4.550492,3.000000,2.890625,5.250000,5.000000,0.000000,0.000000
0.050000,4.825492,3.000000,3.165625,5.500000,5.000000,-0.000000,0.000000
0.050000,5.112992,3.000000,3.453125,5.750000,5.000000,0.000000,0.000000
0.050000,5.412992,3.000000,3.753125,6.000000,5.000000,-0.000000,0.000000
0.050000,5.725492,3.000000,4.065625,6.250000,5.000000,0.000000,0.000000
0.050000,6.050492,3.000000,4.390625,6.500000,5.000000,0.000000,0.000000
0.050000,6.387992,3.000000,4.728125,6.750000,5.000000,0.000000,0.000000
0.050000,6.737992,3.000000,5.078125,7.000000,5.000000,-0.000000,0.000000
0.050000,7.100492,3.000000,5.440625,7.250000,5.000000,0.000000,0.000000
0.050000,7.475492,3.000000,5.815625,7.500000,5.000000,0.000000,0.000000
0.050000,7.862992,3.000000,6.203125,7.750000,5.000000,-0.000000,0.000000
0.050000,8.259867,3.000000,6.600000,7.937500,3.750000,-25.000000,0.000000
0.050000,8.659867,3.000000,7.000000,8.000000,1.250000,-50.000000,0.000000
0.050000,9.059867,3.000000,7.400000,8.000000,0.000000,-25.000000,0.000000
0.050000,9.459867,3.000000,7.800000,8.000000,0.000000,-0.000000,0.000000
0.050000,9.859867,3.000000,8.200000,8.000000,-0.000000,-0.000000,0.000000
0.050000,10.259867,3.000000,8.600000,8.000000,0.000000,0.000000,0.000000
0.050000,10.659867,3.000000,9.000000,8.000000,0.000000,-0.000000,0.000000
0.050000,11.059867,3.000000,9.400000,8.000000,0.000000,0.000000,0.000000
0.050000,11.459867,3.000000,9.800000,8.000000,-0.000000,-0.000000,0.000000
0.050000,11.859867,3.000000,10.200000,8.000000,0.000000,0.000000,0.000000
0.050000,12.259867,3.000000,10.600000,8.000000,-0.000000,-0.000000,0.000000
0.050000,12.659867,3.000000,11.000000,8.000000,0.000000,0.000000,0.000000
0.050000,13.059867,3.000000,11.400000,8.000000,0.000000,-0.000000,0.000000
0.050000,13.459867,3.000000,11.800000,8.000000,0.000000,0.000000,0.000000
0.050000,13.859867,3.000000,12.200000,8.000000,0.000000,0.000000,0.000000
0.050000,14.259867,3.000000,12.600000,8.000000,0.000000,0.000000,0.000000
0.050000,14.659867,3.000000,13.000000,8.000000,-0.000000,-0.000000,0.000000
0.050000,15.072703,3.000470,13.412837,8.256731,5.134619,102.692379,0.012930
0.050000,15.558008,3.027735,13.898907,9.721412,29.293620,483.180015,0.099151
0.050000,16.036499,3.095736,14.382206,9.665969,-1.108864,-608.049665,0.182590
0.050000,16.502399,3.200872,14.859822,9.552319,-2.273004,-23.282814,0.260326
0.050000,16.951662,3.337797,15.329487,9.393305,-3.180276,-18.145433,0.330087
0.050000,17.382274,3.500360,15.789762,9.205510,-3.755885,-11.512186,0.390432
0.050000,17.790904,3.680950,16.236518,8.935118,-5.407849,-33.039279,0.440339
0.050000,18.173022,3.870544,16.663086,8.531353,-8.075297,-53.348964,0.479372
0.050000,18.528528,4.062204,17.066965,8.077585,-9.075360,-20.001247,0.508182
0.050000,18.860535,4.251708,17.449248,7.645661,-8.638480,8.737603,0.527889
0.050000,19.171842,4.435905,17.810967,7.234383,-8.225561,8.258378,0.539528
0.050000,19.464827,4.612450,18.153031,6.841279,-7.862079,7.269643,0.544009
0.050000,19.741437,4.779606,18.476226,6.463888,-7.547829,6.284989,0.542121
0.050000,20.003230,4.936112,18.781233,6.100147,-7.274818,5.460228,0.534547
0.050000,20.251415,5.081089,19.068660,5.748541,-7.032125,4.853847,0.521893
0.050000,20.486914,5.213979,19.339066,5.408116,-6.808489,4.472717,0.504720
0.050000,20.710409,5.334502,19.592987,5.078431,-6.593706,4.295675,0.483563
0.050000,20.922399,5.442629,19.830960,4.759457,-6.379486,4.284392,0.458960
0.050000,21.123240,5.538554,20.053533,4.451453,-6.160066,4.388404,0.431457
0.050000,21.313189,5.622671,20.261274,4.154822,-5.932624,4.548844,0.401623
0.050000,21.492439,5.695546,20.454771,3.869949,-5.697453,4.703420,0.370046
0.050000,21.661142,5.757886,20.634624,3.597061,-5.457779,4.793475,0.337324
0.050000,21.819431,5.810503,20.801430,3.336102,-5.219167,4.772242,0.304055
0.050000,21.967425,5.854284,20.955763,3.086674,-4.988557,4.612190,0.270813
0.050000,22.105234,5.890153,21.098164,2.848019,-4.773104,4.309061,0.238138
0.050000,22.232961,5.919043,21.229118,2.619067,-4.579050,3.881084,0.206514
0.050000,22.350694,5.941872,21.349044,2.398523,-4.410874,3.363523,0.176362
0.050000,22.458508,5.959521,21.458293,2.184980,-4.270857,2.800341,0.148032
0.050000,22.556461,5.972822,21.557144,1.977026,-4.159081,2.235511,0.121804
0.050000,22.644593,5.982545,21.645811,1.773337,-4.073772,1.706184,0.097890
0.050000,22.722931,5.989392,21.724448,1.572746,-4.011829,1.238855,0.076446
0.050000,22.791491,5.993994,21.793162,1.374276,-3.969405,0.848492,0.057579
0.050000,22.850277,5.996904,21.852020,1.177155,-3.942413,0.539842,0.041354
0.050000,22.899288,5.998600,21.901060,0.980809,-3.926920,0.309849,0.027813
0.050000,22.938520,5.999478,21.940302,0.784839,-3.919404,0.150315,0.016972
0.050000,22.967967,5.999858,21.969752,0.588994,-3.916895,0.050185,0.008839
0.050000,22.987624,5.999979,21.989409,0.393142,-3.917033,-0.002763,0.003414
0.050000,22.997486,5.999999,21.999271,0.197239,-3.918077,-0.020882,0.000693
0.050000,22.999984,6.000000,22.001769,0.049959,-2.945586,19.449820,0.000004
0.050000,23.000000,6.000000,22.001785,0.000324,-0.992713,39.057469,6.283185
0.050000,23.000000,6.000000,22.001785,0.000000,-0.006472,19.724827,6.283185
