dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.502673,6.499999,0.003704,0.148148,2.962963,59.259259,6.282202
0.050000,17.510801,6.499979,0.011832,0.162565,0.288346,-53.492343,6.279219
0.050000,17.524367,6.499891,0.025398,0.271313,2.174955,37.732191,6.274266
0.050000,17.543397,6.499656,0.044430,0.380641,2.186548,0.231858,6.267372
0.050000,17.567934,6.499160,0.068971,0.490825,2.203695,0.342941,6.258580
0.050000,17.598029,6.498258,0.099080,0.602189,2.227264,0.471367,6.247949
0.050000,17.633754,6.496777,0.134836,0.715103,2.258292,0.620564,6.235556
0.050000,17.675192,6.494508,0.176335,0.829999,2.297924,0.792651,6.221501
0.050000,17.722446,6.491218,0.223704,0.947366,2.347327,0.988048,6.205907
0.050000,17.775636,6.486642,0.277091,1.067745,2.407582,1.205113,6.188925
0.050000,17.834904,6.480490,0.336677,1.191724,2.479577,1.439896,6.170734
0.050000,17.900409,6.472450,0.402673,1.319918,2.563882,1.686106,6.151545
0.050000,17.972328,6.462189,0.475321,1.452950,2.660653,1.935416,6.131602
0.050000,18.050858,6.449361,0.554892,1.591429,2.769561,2.178145,6.111174
0.050000,18.136213,6.433612,0.641688,1.735917,2.889777,2.404335,6.090564
0.050000,18.228622,6.414589,0.736034,1.886919,3.020034,2.605126,6.070097
0.050000,18.328327,6.391951,0.838277,2.044856,3.158745,2.774226,6.050119
0.050000,18.435588,6.365380,0.948780,2.210067,3.304206,2.909231,6.030995
0.050000,18.550682,6.334594,1.067920,2.382808,3.454832,3.012515,6.013100
0.050000,18.673909,6.299363,1.196084,2.563279,3.609408,3.091518,5.996821
0.050000,18.805597,6.259525,1.333667,2.751645,3.767325,3.158333,5.982552
0.050000,18.946116,6.215001,1.481071,2.948083,3.928758,3.228664,5.970698
0.050000,19.095888,6.165816,1.638712,3.152821,4.094771,3.320267,5.961673
0.050000,19.255401,6.112119,1.807021,3.366187,4.267320,3.450972,5.955909
0.050000,19.425231,6.054206,1.986453,3.588644,4.449132,3.636249,5.953859
0.050000,19.606049,5.992551,2.177494,3.820816,4.643432,3.885990,5.956011
0.050000,19.798645,5.927846,2.380668,4.063487,4.853424,4.199843,5.962890
0.050000,20.000143,5.862248,2.592575,4.238136,3.492989,-27.208697,5.974798
0.050000,20.207335,5.798083,2.809476,4.338020,1.997675,-29.906279,5.991701
0.050000,20.420584,5.736557,3.031423,4.438936,2.018327,0.413034,6.013653
0.050000,20.640189,5.678985,3.258449,4.540518,2.031642,0.266294,6.040685
0.050000,20.866337,5.626794,3.490542,4.641856,2.026752,-0.097797,6.072788
0.050000,21.099041,5.581510,3.727611,4.741375,1.990374,-0.727564,6.109871
0.050000,21.338065,5.544723,3.969449,4.836769,1.907884,-1.649802,6.151727
0.050000,21.582866,5.518031,4.215701,4.925042,1.765454,-2.848596,6.198001
0.050000,21.832546,5.502947,4.465836,5.002705,1.553267,-4.243745,6.248162
0.050000,22.067505,5.500000,4.700813,4.699543,-6.063248,-152.330286,0.000000
0.050000,22.267505,5.500000,4.900813,4.000000,-13.990850,-158.552047,0.000000
0.050000,22.464403,5.500000,5.097712,3.937961,-1.240777,255.001463,0.000000
0.050000,22.654495,5.500000,5.287804,3.801848,-2.722258,-29.629630,0.000000
0.050000,22.837180,5.500000,5.470489,3.653700,-2.962963,-4.814090,0.000000
0.050000,23.012458,5.500000,5.645767,3.505552,-2.962963,0.000000,0.000000
0.050000,23.180328,5.500000,5.813637,3.357404,-2.962963,-0.000000,0.000000
0.050000,23.340791,5.500000,5.974100,3.209256,-2.962963,0.000000,0.000000
0.050000,23.493846,5.500000,6.127155,3.061107,-2.962963,0.000000,0.000000
0.050000,23.639494,5.500000,6.272803,2.912959,-2.962963,0.000000,0.000000
0.050000,23.777735,5.500000,6.411043,2.764811,-2.962963,-0.000000,0.000000
0.050000,23.908568,5.500000,6.541877,2.616663,-2.962963,-0.000000,0.000000
0.050000,24.031994,5.500000,6.665302,2.468515,-2.962963,0.000000,0.000000
0.050000,24.148012,5.500000,6.781321,2.320367,-2.962963,-0.000000,0.000000
0.050000,24.256623,5.500000,6.889932,2.172219,-2.962963,0.000000,0.000000
0.050000,24.357827,5.500000,6.991135,2.024070,-2.962963,-0.000000,0.000000
0.050000,24.451623,5.500000,7.084931,1.875922,-2.962963,0.000000,0.000000
0.050000,24.538011,5.500000,7.171320,1.727774,-2.962963,-0.000000,0.000000
0.050000,24.616993,5.500000,7.250301,1.579626,-2.962963,0.000000,0.000000
0.050000,24.688567,5.500000,7.321875,1.431478,-2.962963,-0.000000,0.000000
0.050000,24.752733,5.500000,7.386042,1.283330,-2.962963,0.000000,0.000000
0.050000,24.809492,5.500000,7.442801,1.135182,-2.962963,0.000000,0.000000
0.050000,24.858844,5.500000,7.492152,0.987033,-2.962963,-0.000000,0.000000
0.050000,24.900788,5.500000,7.534097,0.838885,-2.962963,0.000000,0.000000
0.050000,24.935325,5.500000,7.568633,0.690737,-2.962963,0.000000,0.000000
0.050000,24.962454,5.500000,7.595763,0.542589,-2.962963,0.000000,0.000000
0.050000,24.982176,5.500000,7.615485,0.394441,-2.962963,-0.000000,0.000000
0.050000,24.994491,5.500000,7.627800,0.246293,-2.962963,0.000000,0.000000
0.050000,24.999398,5.500000,7.632707,0.098145,-2.962963,-0.000000,0.000000
0.050000,25.000000,5.500000,7.633309,0.012035,-1.722186,24.815539,0.000000
0.050000,25.000000,5.500000,7.633309,0.000000,-0.240705,29.629630,0.000000
