dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.663540,3.000000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,1.674651,3.000000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,1.693170,3.000000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,1.719096,3.000000,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,1.752429,3.000000,0.092593,0.666667,2.962963,0.000000,0.000000
0.050000,1.793170,3.000000,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,1.841318,3.000000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,1.896874,3.000000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,1.959837,3.000000,0.300000,1.259259,2.962963,0.000000,0.000000
0.050000,2.030207,3.000000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,2.107985,3.000000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,2.193170,3.000000,0.533333,1.703704,2.962963,-0.000000,0.000000
0.050000,2.285763,3.000000,0.625926,1.851852,2.962963,-0.000000,0.000000
0.050000,2.385763,3.000000,0.725926,2.000000,2.962963,0.000000,0.000000
0.050000,2.493170,3.000000,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,2.607985,3.000000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,2.730207,3.000000,1.070370,2.444444,2.962963,0.000000,0.000000
0.050000,2.859837,3.000000,1.200000,2.592593,2.962963,0.000000,0.000000
0.050000,2.996874,3.000000,1.337037,2.740741,2.962963,-0.000000,0.000000
0.050000,3.141318,3.000000,1.481481,2.888889,2.962963,0.000000,0.000000
0.050000,3.293170,3.000000,1.633333,3.037037,2.962963,0.000000,0.000000
0.050000,3.452429,3.000000,1.792593,3.185185,2.962963,-0.000000,0.000000
0.050000,3.619096,3.000000,1.959259,3.333333,2.962963,0.000000,0.000000
0.050000,3.793170,3.000000,2.133333,3.481481,2.962963,-0.000000,0.000000
0.050000,3.974651,3.000000,2.314815,3.629630,2.962963,0.000000,0.000000
0.050000,4.163540,3.000000,2.503704,3.777778,2.962963,0.000000,0.000000
0.050000,4.359837,3.000000,2.700000,3.925926,2.962963,0.000000,0.000000
0.050000,4.559837,3.000000,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,4.759837,3.000000,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,4.959837,3.000000,3.300000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.159837,3.000000,3.500000,4.000000,0.000000,0.000000,0.000000
0.050000,5.359837,3.000000,3.700000,4.000000,0.000000,-0.000000,0.000000
0.050000,5.559837,3.000000,3.900000,4.000000,0.000000,0.000000,0.000000
0.050000,5.759837,3.000000,4.100000,4.000000,0.000000,0.000000,0.000000
0.050000,5.959837,3.000000,4.300000,4.000000,-0.000000,-0.000000,0.000000
0.050000,6.159837,3.000000,4.500000,4.000000,0.000000,0.000000,0.000000
0.050000,6.359837,3.000000,4.700000,4.000000,0.000000,-0.000000,0.000000
0.050000,6.559837,3.000000,4.900000,4.000000,0.000000,0.000000,0.000000
0.050000,6.759837,3.000000,5.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,6.959837,3.000000,5.300000,4.000000,0.000000,0.000000,0.000000
0.050000,7.159837,3.000000,5.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,7.359837,3.000000,5.700000,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.559837,3.000000,5.900000,4.000000,0.000000,0.000000,0.000000
0.050000,7.759837,3.000000,6.100000,4.000000,0.000000,-0.000000,0.000000
0.050000,7.959837,3.000000,6.300000,4.000000,0.000000,0.000000,0.000000
