dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.003943,18.500001,0.003704,0.148148,2.962963,59.259259,0.000299
0.050000,17.015964,18.500010,0.015725,0.240434,1.845717,-22.344925,0.001210
0.050000,17.035993,18.500049,0.035755,0.400583,3.202979,27.145248,0.002720
0.050000,17.064019,18.500155,0.063781,0.560521,3.198754,-0.084507,0.004821
0.050000,17.100027,18.500377,0.099789,0.720161,3.192810,-0.118867,0.007495
0.050000,17.143996,18.500777,0.143760,0.879417,3.185123,-0.153746,0.010725
0.050000,17.195901,18.501432,0.195670,1.038200,3.175661,-0.189238,0.014487
0.050000,17.255714,18.502426,0.255491,1.196420,3.164391,-0.225400,0.018753
0.050000,17.323398,18.503857,0.323190,1.353984,3.151279,-0.262247,0.023489
0.050000,17.398913,18.505827,0.398730,1.510798,3.136291,-0.299749,0.028659
0.050000,17.482210,18.508448,0.482068,1.666768,3.119400,-0.337829,0.034220
0.050000,17.573237,18.511834,0.573158,1.821798,3.100582,-0.376364,0.040124
0.050000,17.671934,18.516105,0.671947,1.975789,3.079822,-0.415194,0.046321
0.050000,17.778235,18.521377,0.778380,2.128644,3.057116,-0.454128,0.052754
0.050000,17.892069,18.527768,0.892393,2.280268,3.032468,-0.492956,0.059360
0.050000,18.013358,18.535388,1.013921,2.430563,3.005895,-0.531464,0.066074
0.050000,18.142019,18.544342,1.142893,2.579434,2.977422,-0.569448,0.072823
0.050000,18.277963,18.554723,1.279232,2.726788,2.947085,-0.606736,0.079533
0.050000,18.421096,18.566612,1.422859,2.872534,2.914925,-0.643205,0.086123
0.050000,18.571324,18.580072,1.573688,3.016583,2.880985,-0.678798,0.092508
0.050000,18.728545,18.595149,1.731631,3.158849,2.845308,-0.713537,0.098599
0.050000,18.892658,18.611865,1.896593,3.299245,2.807931,-0.747539,0.104302
0.050000,19.063560,18.630217,2.068477,3.437690,2.768881,-0.781015,0.109520
0.050000,19.241147,18.650173,2.247182,3.574098,2.728167,-0.814270,0.114151
0.050000,19.425316,18.671669,2.432602,3.708387,2.685783,-0.847690,0.118089
0.050000,19.615965,18.694607,2.624625,3.840472,2.641697,-0.881715,0.121224
0.050000,19.812992,18.718848,2.823138,3.970265,2.595857,-0.916806,0.123441
0.050000,20.012614,18.743752,3.024307,4.023375,1.062198,-30.673183,0.124610
0.050000,20.211128,18.768644,3.224376,4.001380,-0.439894,-30.041837,0.124679
0.050000,20.408564,18.793303,3.423345,3.979385,-0.439890,0.000087,0.123648
0.050000,20.601772,18.817128,3.618018,3.893446,-1.718794,-25.578084,0.121560
0.050000,20.787218,18.839514,3.804810,3.735845,-3.152016,-28.664429,0.118537
0.050000,20.964571,18.860305,3.983377,3.571348,-3.289939,-2.758460,0.114695
0.050000,21.133947,18.879439,4.153831,3.409066,-3.245636,0.886056,0.110147
0.050000,21.295453,18.896891,4.316276,3.248914,-3.203037,0.851972,0.104999
0.050000,21.449186,18.912663,4.470817,3.090809,-3.162110,0.818534,0.099354
0.050000,21.595238,18.926785,4.617550,2.934666,-3.122846,0.785299,0.093308
0.050000,21.733694,18.939305,4.756570,2.780404,-3.085252,0.751876,0.086957
0.050000,21.864630,18.950293,4.887967,2.627936,-3.049354,0.717951,0.080389
0.050000,21.988121,18.959830,5.011826,2.477177,-3.015189,0.683303,0.073692
0.050000,22.104235,18.968013,5.128228,2.328037,-2.982799,0.647807,0.066944
0.050000,22.213036,18.974944,5.237249,2.180425,-2.952227,0.611430,0.060224
0.050000,22.314584,18.980732,5.338961,2.034250,-2.923516,0.574220,0.053602
0.050000,22.408934,18.985491,5.433432,1.889415,-2.896701,0.536296,0.047145
0.050000,22.496141,18.989336,5.520723,1.745824,-2.871810,0.497825,0.040917
0.050000,22.576252,18.992378,5.600892,1.603381,-2.848860,0.459008,0.034974
0.050000,22.649314,18.994731,5.673992,1.461988,-2.827857,0.420061,0.029368
0.050000,22.715368,18.996499,5.740069,1.321548,-2.808797,0.381194,0.024148
0.050000,22.774452,18.997785,5.799168,1.181965,-2.791667,0.342603,0.019356
0.050000,22.826601,18.998682,5.851325,1.043143,-2.776444,0.304453,0.015030
0.050000,22.871847,18.999276,5.896574,0.904988,-2.763101,0.266870,0.011204
0.050000,22.910215,18.999643,5.934944,0.767408,-2.751604,0.229936,0.007907
0.050000,22.941730,18.999849,5.966460,0.630312,-2.741919,0.193689,0.005162
0.050000,22.966411,18.999950,5.991141,0.493611,-2.734013,0.158119,0.002989
0.050000,22.984271,18.999989,6.009001,0.357218,-2.727855,0.123174,0.001404
0.050000,22.995324,18.999999,6.020054,0.221047,-2.723417,0.088762,0.000418
0.050000,22.999574,19.000000,6.024305,0.085013,-2.720679,0.054762,0.000038
0.050000,23.000000,19.000000,6.024730,0.008510,-1.530060,23.812372,6.283185
0.050000,23.000000,19.000000,6.024730,0.000000,-0.170209,27.197017,6.283185
